,Bowler,Matches,Runs,4,6,Wickets,Overs,balls
292,Imad Wasim,78,2193,132,54,81,417.2,2504.0
293,Shoaib Malik,187,4243,262,91,131,908.3,5451.0
294,R Powell,3,34,1,1,1,3.5,23.0
295,Junaid Khan,102,5334,628,63,186,1339.1,8035.0
296,Mohammad Hafeez,237,6851,401,134,226,1754.0,10524.0
297,NLTC Perera,222,7394,763,161,256,1219.1,7315.0
298,MD Gunathilaka,17,289,25,3,6,42.4,256.0
299,KM Jadhav,16,282,22,4,11,57.3,345.0
300,V Kohli,93,1256,99,24,16,198.5,1193.0
301,Taskin Ahmed,46,1994,239,28,66,387.2,2324.0
302,KS Williamson,116,2491,180,47,75,590.3,3543.0
303,R Ashwin,343,16506,1339,379,664,4266.2,25598.0
304,ML Cummins,11,720,73,5,15,186.2,1118.0
305,AR Nurse,28,1105,76,17,33,205.3,1233.0
306,Fahim Ashraf,1,34,1,0,2,1.5,11.0
307,DM de Silva,34,859,59,10,23,201.4,1210.0
308,Rumman Raees,13,283,20,8,21,46.0,276.0
309,Fakhar Zaman,7,85,3,5,2,12.0,72.0
310,Z Groenewald,19,499,41,16,20,109.0,654.0
311,SF Burger,30,756,49,13,29,169.2,1016.0
312,JJ Smit,39,1100,98,20,43,209.3,1257.0
313,C Viljoen,23,448,43,8,31,70.3,423.0
314,JN Frylinck,24,565,38,14,39,106.1,637.0
315,BM Scholtz,44,1156,66,30,76,264.3,1587.0
316,SJ Baard,5,135,13,2,2,27.4,166.0
317,AC Evans,40,1338,133,35,58,244.2,1466.0
318,SM Sharif,63,1970,200,41,92,337.0,2022.0
319,CB Sole,10,340,31,4,15,75.4,454.0
320,MRJ Watt,35,1049,73,37,46,182.5,1097.0
321,CD de Lange,21,643,40,18,32,115.0,690.0
322,RD Berrington,48,928,78,16,35,168.5,1013.0
323,T Lungameni,8,144,19,1,6,27.1,163.0
324,TL Chatara,70,2895,316,54,116,703.5,4223.0
325,R Ngarava,7,298,35,7,10,44.3,267.0
326,Sikandar Raza,74,2109,145,47,51,438.0,2628.0
327,AG Cremer,102,4405,318,95,136,957.3,5745.0
328,SC Williams,115,3394,225,75,97,667.3,4005.0
329,SF Mire,20,522,53,6,13,90.5,545.0
330,MA Leask,33,865,70,32,22,139.2,836.0
331,CB Mpofu,87,3758,445,56,109,762.3,4575.0
332,RP Burl,16,298,30,9,13,40.4,244.0
333,JH Davey,44,1387,144,35,72,243.4,1462.0
334,CS MacLeod,25,416,43,6,8,78.3,471.0
335,LA Dawson,27,936,51,38,41,162.0,972.0
336,MS Crane,4,103,9,3,1,8.4,52.0
337,JT Smuts,4,71,5,4,1,6.2,38.0
338,T Shamsi,16,703,61,18,16,133.3,801.0
339,TK Curran,42,1194,107,36,57,160.4,964.0
340,D Paterson,4,110,14,3,6,11.2,68.0
341,LMM Tahuhu,44,1194,161,7,52,265.2,1592.0
342,HR Huddleston,17,458,61,1,29,104.0,624.0
343,SFM Devine,35,657,74,2,40,140.2,842.0
344,AM Peterson,10,171,18,0,12,39.3,237.0
345,AC Kerr,23,636,56,3,29,129.5,779.0
346,AE Satterthwaite,31,720,62,5,28,148.1,889.0
347,EM Bermingham,29,723,67,12,32,158.0,948.0
348,SW Bates,48,1121,111,11,34,217.4,1306.0
349,KDU Prabodhani,52,1081,122,9,36,240.0,1440.0
350,HHC Gunaratne,15,317,36,3,18,64.1,385.0
351,HASD Siriwardene,56,1382,108,11,54,291.3,1749.0
352,SS Weerakkody,49,836,94,4,34,196.4,1180.0
353,I Ranaweera,58,1434,136,8,69,329.3,1977.0
354,AC Jayangani,28,644,73,5,19,116.5,701.0
355,PRCS Kumarihami,19,324,22,7,9,67.3,405.0
356,LE Kaushalya,49,696,84,7,29,149.1,895.0
357,JL Carter,12,153,11,3,4,23.0,138.0
358,A Shrubsole,73,2008,255,17,104,545.1,3271.0
359,KH Brunt,74,1904,236,5,98,540.2,3242.0
360,NR Sciver,66,1245,134,8,65,269.0,1614.0
361,D Hazell,60,1557,125,13,75,370.1,2221.0
362,JL Gunn,63,1614,147,16,92,412.0,2472.0
363,A Hartley,11,347,33,3,14,82.5,497.0
364,HC Knight,44,1011,87,4,52,220.3,1323.0
365,D van Niekerk,76,1574,134,14,99,393.2,2360.0
366,CL Tryon,36,707,93,3,17,139.5,839.0
367,Asmavia Iqbal,61,1508,170,22,72,289.2,1736.0
368,Sadia Yousuf,55,1429,110,17,72,288.5,1733.0
369,Sana Mir,82,2093,178,15,92,452.1,2713.0
370,Nashra Sandhu,19,615,67,9,28,140.0,840.0
371,Kainat Imtiaz,10,273,34,4,5,39.0,234.0
372,Bismah Maroof,55,702,43,8,37,148.5,893.0
373,JL Jonassen,94,2233,217,15,129,555.0,3330.0
374,ML Schutt,72,1759,199,11,97,426.2,2558.0
375,EA Perry,94,2334,278,12,118,567.2,3404.0
376,KM Beams,42,1063,68,15,57,253.4,1522.0
377,A Gardner,31,743,68,5,32,176.4,1060.0
378,EJ Villani,9,173,17,2,5,33.1,199.0
379,SC Selman,36,691,90,5,21,139.3,837.0
380,SS Connell,25,547,76,2,11,95.3,573.0
381,SR Taylor,51,1235,111,7,55,277.4,1666.0
382,SF Daley,35,788,89,4,41,154.5,929.0
383,A Mohammed,57,1391,109,17,59,277.0,1662.0
384,DJS Dottin,34,686,80,5,43,152.5,917.0
385,HK Matthews,35,844,82,12,45,162.4,976.0
386,ASS Fletcher,34,753,68,8,41,156.2,938.0
387,Nahida Khan,1,12,0,0,0,0.2,2.0
388,MR Meshram,6,76,6,0,0,17.0,102.0
389,CN Nation,3,53,5,1,3,8.2,50.0
390,B Vakarewa,9,200,27,0,11,34.4,208.0
391,NE Bolton,10,205,23,4,6,26.3,159.0
392,DT Tiripano,30,1234,138,13,37,296.5,1781.0
393,A Dananjaya,14,584,36,19,30,123.5,743.0
394,MA Aponso,6,249,27,2,7,45.5,275.0
395,LD Madushanka,5,202,16,5,4,27.2,164.0
396,LA Marsh,54,1709,168,8,74,451.5,2711.0
397,KADA Kanchana,20,490,64,4,12,76.2,458.0
398,OU Ranasinghe,18,422,40,7,13,57.2,344.0
399,H Madavi,2,19,1,1,0,1.3,9.0
400,A Wellington,17,482,44,5,26,81.5,491.0
401,Diana Baig,7,231,34,1,8,44.2,266.0
402,Q Joseph,2,42,6,0,1,6.2,38.0
403,PVD Chameera,32,1445,167,23,46,298.0,1788.0
404,PADLR Sandakan,26,1228,99,13,36,260.2,1562.0
405,PWH de Silva,15,477,41,14,26,70.2,422.0
406,LM Kasperek,14,355,29,4,28,84.0,504.0
407,AK Peters,3,38,6,0,1,8.5,53.0
408,Marina Iqbal,6,94,9,3,2,9.1,55.0
409,SE Aley,9,182,16,3,13,28.5,173.0
410,CT Mumba,4,363,56,0,8,83.3,501.0
411,MN Waller,32,689,39,14,18,162.4,976.0
412,VD Philander,80,4786,573,47,213,1642.4,9856.0
413,TB de Bruyn,1,30,4,0,0,0.5,5.0
414,T Bavuma,4,49,4,0,1,11.1,67.0
415,JM Anderson,267,17146,2212,122,656,5168.4,31012.0
416,SCJ Broad,289,17760,2262,168,681,4949.4,29698.0
417,HM Rowe,8,168,20,0,9,45.5,275.0
418,AM Fernando,1,22,3,1,0,0.2,2.0
419,KMDN Kulasekara,254,9419,1074,126,341,2076.3,12459.0
420,RL Haynes,6,84,14,0,2,8.4,52.0
421,Javeria Khan,9,152,17,0,5,33.4,202.0
422,K Gowtham,21,463,47,15,13,59.1,355.0
423,B Stanlake,38,1063,125,33,42,149.2,896.0
424,BCJ Cutting,85,2227,195,63,73,284.5,1709.0
425,M Markande,16,399,36,18,13,43.3,261.0
426,K Khejroliya,4,117,7,9,3,9.0,54.0
427,Mujeeb Ur Rahman,46,1270,95,39,50,233.3,1401.0
428,AD Russell,172,4956,493,165,187,753.3,4521.0
429,Shivam Mavi,9,258,22,16,7,29.0,174.0
430,S Gopal,29,715,37,39,39,92.3,555.0
431,DJM Short,29,517,29,23,18,62.4,376.0
432,BB Sran,32,1008,102,33,34,144.2,866.0
433,V Shankar,11,159,16,6,5,20.1,121.0
434,N Rana,11,105,11,3,5,13.0,78.0
435,JC Archer,73,2540,276,63,125,503.5,3023.0
436,MK Tiwary,12,220,10,15,6,29.2,176.0
437,MK Lomror,2,27,3,0,0,2.1,13.0
438,M Ashwin,22,531,40,20,15,68.4,412.0
439,L Ngidi,15,482,58,12,26,85.4,514.0
440,KM Asif,2,73,7,6,3,3.5,23.0
441,MP Stoinis,67,1535,131,52,61,203.0,1218.0
442,M Prasidh Krishna,18,625,78,20,17,69.3,417.0
443,Ankit Sharma,21,436,28,18,12,61.4,370.0
444,JPR Scantlebury-Searles,3,86,4,7,2,4.1,25.0
445,S Lamichhane,33,874,64,42,51,134.1,805.0
446,CJ Dala,1,33,3,2,0,0.4,4.0
447,KK Ahmed,18,570,63,24,27,72.4,436.0
448,NA Saini,18,520,60,23,18,64.0,384.0
449,S Dube,5,57,5,1,3,8.3,51.0
450,Rasikh Salam,1,39,3,2,0,1.1,7.0
451,KMA Paul,15,434,31,18,20,60.3,363.0
452,SM Curran,30,848,88,25,35,126.2,758.0
453,CV Varun,1,35,3,3,1,0.3,3.0
454,GC Viljoen,9,368,48,8,12,48.5,293.0
455,Mandeep Singh,2,26,1,2,0,1.1,7.0
456,P Ray Barman,1,56,3,4,0,0.4,4.0
457,GH Vihari,9,92,10,1,1,18.4,112.0
458,JP Behrendorff,52,1429,152,36,68,226.2,1358.0
459,RD Chahar,16,384,24,22,16,56.5,341.0
460,HF Gurney,40,1244,120,29,51,192.4,1156.0
461,S Midhun,1,26,2,2,0,0.3,3.0
462,R Parag,7,121,8,4,2,11.3,69.0
463,SN Khan,1,6,1,0,0,0.2,2.0
464,LS Livingstone,2,22,0,2,1,2.1,13.0
465,Abhishek Sharma,2,20,1,1,1,1.2,8.0
466,Arshdeep Singh,3,104,12,4,3,7.3,45.0
467,DW Steyn,320,15106,1858,163,719,3916.5,23501.0
468,CJ Green,39,858,46,36,32,121.0,726.0
469,AL Fekete,12,349,39,16,10,32.5,197.0
470,Fawad Ahmed,50,1328,79,43,53,189.3,1137.0
471,AJ Nair,14,275,10,12,12,35.1,211.0
472,DR Sams,19,482,52,16,25,57.1,343.0
473,SM Boland,48,1740,169,49,62,248.3,1491.0
474,EP Gulbis,28,484,52,10,12,58.2,350.0
475,MT Steketee,34,965,86,40,40,119.5,719.0
476,B Doggett,15,403,35,14,17,48.1,289.0
477,MJ Swepson,32,844,34,36,32,112.1,673.0
478,TLW Cooper,40,574,39,22,19,92.0,552.0
479,JD Wildermuth,30,771,72,21,26,94.3,567.0
480,CA Rose,43,946,79,36,22,119.3,717.0
481,AW Summers,1,27,1,2,0,1.1,7.0
482,CJ Boyce,67,1736,93,72,75,231.0,1386.0
483,CA Ingram,18,290,19,12,10,34.2,206.0
