,Batsmen,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score
452,BM Scholtz,15,69,3,0,7,167,0,0,1,21
453,SM Sharif,31,252,18,3,17,276,0,0,4,26
454,MRJ Watt,17,108,10,1,9,127,0,0,1,15
455,AC Evans,15,94,11,0,9,136,0,0,4,28
456,CB Sole,4,15,0,0,3,32,0,0,0,10
457,MA Leask,40,583,43,30,35,484,2,0,3,59
458,SF Mire,29,630,66,14,28,751,3,1,1,112
459,H Masakadza,203,6146,626,121,191,8689,42,8,11,219
460,CR Ervine,93,3041,303,40,76,4254,21,5,6,173
461,SC Williams,131,3552,323,46,111,4105,30,2,11,120
462,Sikandar Raza,103,2666,252,50,90,3311,16,2,1,147
463,RP Burl,19,416,27,14,14,455,2,0,0,57
464,MN Waller,95,2060,201,36,84,2651,8,1,8,101
465,PJ Moor,40,860,67,34,35,1126,5,0,1,92
466,AG Cremer,73,999,73,7,54,2003,3,1,6,145
467,TL Chatara,37,212,24,3,24,389,0,0,9,23
468,R Ngarava,4,12,0,1,3,16,0,0,2,10
469,JH Davey,30,368,36,3,20,468,1,0,2,53
470,JT Smuts,6,110,11,5,6,97,0,0,1,45
471,RR Hendricks,11,206,22,1,11,195,0,0,2,49
472,M Mosehle,5,100,5,9,3,57,0,0,0,36
473,D Paterson,1,4,1,0,0,1,0,0,0,4
474,LS Livingstone,17,333,23,17,14,233,1,0,1,55
475,LA Dawson,23,527,31,17,19,504,3,0,1,76
476,MDN Hansika,28,403,44,1,28,807,0,0,6,48
477,PRCS Kumarihami,28,392,27,0,24,868,0,0,3,49
478,AC Jayangani,74,2144,272,21,66,2734,13,4,4,178
479,LE Kaushalya,56,884,79,19,47,956,3,0,5,65
480,MADD Surangika,49,866,78,3,35,1351,3,0,5,84
481,HASD Siriwardene,55,965,91,5,47,1450,2,0,2,68
482,PM Weerakkody,38,652,66,0,32,1035,1,0,1,61
483,SS Weerakkody,46,346,30,1,31,517,0,0,4,26
484,KDU Prabodhani,34,166,15,0,19,319,0,0,3,21
485,I Ranaweera,31,127,13,0,11,286,0,0,8,32
486,HHC Gunaratne,5,14,2,0,3,22,0,0,1,6
487,SW Bates,61,2135,248,17,53,2433,16,2,2,122
488,RH Priest,52,1065,158,11,47,1152,5,1,4,108
489,AE Satterthwaite,43,1792,195,6,31,2079,13,5,1,137
490,DJ Malan,24,853,94,32,21,576,8,1,1,103
491,TK Curran,29,485,54,9,19,380,1,0,0,62
492,S Mandhana,32,872,115,8,27,1052,8,1,1,106
493,TT Beaumont,60,1855,211,17,56,2219,10,4,4,168
494,SJ Taylor,88,2668,322,4,73,2784,19,1,6,147
495,HC Knight,80,1998,197,19,61,2620,12,2,4,161
496,NR Sciver,67,1765,177,16,52,1871,9,2,5,137
497,FC Wilson,20,397,37,0,16,411,1,0,1,81
498,DN Wyatt,67,994,111,8,53,971,4,0,8,81
499,KH Brunt,38,547,43,6,29,697,0,0,0,45
500,JL Gunn,46,478,35,7,25,778,2,0,4,69
501,A Shrubsole,28,188,18,4,20,346,0,0,5,32
502,D Hazell,16,168,11,2,11,254,0,0,2,45
503,A Hartley,2,2,0,0,0,7,0,0,0,1
504,Ayesha Zafar,20,421,65,0,19,602,3,1,1,115
505,Nahida Khan,43,755,84,3,35,1157,3,0,3,79
506,Javeria Khan,68,1517,174,0,57,2153,8,1,6,133
507,Bismah Maroof,77,1849,161,0,56,2369,8,0,4,91
508,Nain Abidi,61,1140,101,1,50,1692,2,0,5,62
509,Kainat Imtiaz,8,56,7,0,4,74,0,0,0,14
510,Asmavia Iqbal,53,521,40,12,40,702,0,0,3,38
511,Sana Mir,64,982,77,0,47,1544,2,0,6,52
512,Sidra Nawaz,23,140,15,0,15,237,0,0,3,47
513,D van Niekerk,59,1401,137,19,42,1802,5,0,0,70
514,HK Matthews,39,959,114,18,34,1151,6,1,2,107
515,F Walters,2,16,1,0,2,46,0,0,0,9
516,CN Nation,20,410,42,6,17,684,1,0,0,63
517,SR Taylor,60,1808,193,21,52,2049,13,0,2,95
518,DJS Dottin,54,1377,137,49,47,1320,7,1,4,104
519,MR Aguilleira,42,527,38,4,33,846,0,0,1,46
520,SF Daley,28,261,21,2,21,400,0,0,4,37
521,A Mohammed,35,197,20,0,17,394,0,0,7,31
522,ASS Fletcher,18,116,12,0,12,180,0,0,4,36
523,SC Selman,17,72,2,0,9,134,0,0,3,12
524,SS Connell,11,19,1,0,5,34,0,0,5,13
525,BL Mooney,46,1656,192,2,35,1739,15,1,2,113
526,NE Bolton,42,1307,133,1,38,1944,9,3,1,124
527,MM Lanning,100,4004,501,41,76,4167,30,7,3,152
528,EA Perry,80,2984,271,34,44,3634,27,1,3,192
529,Kyshona A Knight,32,375,45,0,27,787,0,0,3,41
530,GWHM Perera,28,342,46,0,24,610,0,0,4,46
531,LD Madushanka,6,35,3,0,5,47,0,0,1,20
532,H Madavi,10,139,17,0,8,231,0,0,2,39
533,OU Ranasinghe,17,106,6,0,15,212,0,0,0,26
534,KADA Kanchana,29,208,17,1,22,332,0,0,4,34
535,L Winfield,38,837,107,6,32,1002,4,1,2,123
536,KJ Martin,39,715,69,0,27,812,4,0,3,81
537,SFM Devine,40,1262,114,41,33,1210,10,0,2,93
538,KT Perkins,31,495,36,5,25,607,1,0,0,52
539,AM Peterson,10,98,6,2,9,131,0,0,0,22
540,EM Bermingham,18,121,9,3,13,120,0,0,1,35
541,LMM Tahuhu,21,116,9,1,16,161,0,0,6,16
542,AC Kerr,10,83,11,0,4,62,0,0,0,29
543,HR Huddleston,6,20,1,0,3,58,0,0,2,12
544,EJ Villani,60,1339,171,15,53,1384,8,0,9,90
545,AJ Blackwell,77,1683,148,5,52,2307,10,0,4,82
546,M Joshi,4,21,2,0,1,44,0,0,0,12
547,Poonam Yadav,8,21,1,0,3,34,0,0,2,7
548,Iram Javed,25,228,28,4,22,325,1,0,3,55
549,Nashra Sandhu,7,22,1,1,2,123,0,0,1,7
550,Diana Baig,6,15,0,0,5,43,0,0,3,12
551,Sadia Yousuf,19,21,1,0,9,120,0,0,8,6
552,R Boyce,5,13,0,1,5,37,0,0,1,6
553,Q Joseph,1,0,0,0,1,2,0,0,1,0
554,KA Hope,3,100,16,0,3,152,0,0,0,46
555,KOK Williams,3,3,0,0,1,6,0,0,1,2
556,DT Tiripano,25,358,33,4,19,907,1,0,2,63
557,Kycia A Knight,33,471,47,4,29,746,0,0,6,45
558,AK Peters,3,4,0,0,2,15,0,0,2,4
559,RL Haynes,36,914,93,8,30,1362,7,1,4,118
560,AJ Healy,82,1845,245,28,66,1589,9,2,4,148
561,JL Jonassen,58,1032,91,10,45,1236,1,1,2,153
562,A Gardner,26,394,41,13,25,350,0,0,4,49
563,SE Aley,3,18,2,0,2,15,0,0,1,15
564,Marina Iqbal,29,398,35,2,23,636,0,0,1,42
565,TK Musakanda,9,229,22,4,8,267,1,0,1,60
566,CT Mumba,4,17,1,0,2,91,0,0,0,11
567,AN Cook,212,12458,1433,21,193,23612,93,44,7,302
568,KK Jennings,16,556,50,7,10,738,3,1,0,112
569,GS Ballance,44,1860,220,10,41,3619,13,5,2,194
570,SCJ Broad,192,3483,400,47,143,5021,19,2,20,169
571,JM Anderson,150,1190,156,3,90,2576,1,0,22,81
572,D Elgar,43,2388,275,18,38,5133,17,8,1,229
573,HG Kuhn,7,59,4,2,5,78,0,0,0,29
574,T Bavuma,26,1214,153,6,22,2404,10,3,1,113
575,TB de Bruyn,7,169,27,2,6,308,0,0,0,49
576,VD Philander,64,1326,146,10,44,2836,7,0,8,96
577,KA Maharaj,10,247,30,5,8,415,3,0,1,94
578,PWH de Silva,12,126,8,2,6,109,0,0,1,30
579,KMDN Kulasekara,161,1799,143,50,118,2426,5,0,20,73
580,A Dananjaya,6,11,0,0,5,34,0,0,4,7
581,PVD Chameera,18,131,14,0,8,306,0,0,2,28
582,LA Marsh,41,633,80,5,30,1061,2,0,5,55
583,LM Kasperek,6,18,1,0,4,33,0,0,2,6
584,ML Schutt,15,80,8,0,13,136,0,0,1,14
585,KM Beams,10,56,4,0,5,132,0,0,1,26
586,ML Green,17,257,30,4,16,278,1,0,0,56
587,HM Rowe,3,15,1,0,1,25,0,0,0,10
588,DJM Short,40,1518,151,62,36,1056,13,1,2,122
589,K Gowtham,16,144,10,10,11,73,0,0,1,33
590,BCJ Cutting,77,1309,77,85,58,860,2,0,3,81
591,M Markande,7,27,3,0,3,27,0,0,1,7
592,DJ Hooda,45,524,27,24,33,398,1,0,1,54
593,Sandeep Sharma,17,33,2,0,3,43,0,0,4,7
594,B Stanlake,9,18,1,0,1,27,0,0,2,5
595,KL Rahul,101,4183,407,109,83,4777,35,8,4,199
596,MA Agarwal,77,1922,198,67,72,2096,9,3,5,243
597,MP Stoinis,74,1744,146,55,52,1421,7,1,7,146
598,Mujeeb Ur Rahman,14,73,9,1,8,69,0,0,7,27
599,SN Khan,21,402,45,11,15,265,1,0,1,67
600,AD Russell,152,3071,236,213,116,1961,10,0,15,92
601,Shubman Gill,23,499,43,15,14,370,4,0,0,76
602,Shivam Mavi,3,13,1,0,3,12,0,0,1,7
603,M Vijay,177,6503,696,133,161,10014,36,16,5,198
604,Mohammed Siraj,6,29,2,1,3,34,0,0,1,14
605,S Gopal,13,109,12,1,6,95,0,0,3,24
606,DS Kulkarni,21,126,9,3,9,131,0,0,0,28
607,H Klaasen,7,77,6,1,6,86,0,0,1,32
608,JD Unadkat,12,56,6,1,7,62,0,0,3,26
609,RK Bhui,2,7,0,0,2,16,0,0,1,7
610,JC Archer,32,230,21,6,19,241,0,0,4,27
611,BB Sran,7,10,0,0,1,13,0,0,1,3
612,PP Shaw,25,598,72,19,23,412,4,0,1,99
613,MK Lomror,3,28,3,0,2,22,0,0,0,11
614,RK Singh,5,58,4,2,4,53,0,0,0,30
615,M Ashwin,5,4,0,0,3,6,0,0,1,1
616,DR Shorey,2,13,0,1,2,18,0,0,0,8
617,AD Nath,10,90,7,2,10,90,0,0,1,24
618,M Prasidh Krishna,2,1,0,0,1,6,0,0,1,1
619,HV Patel,15,107,3,9,9,68,0,0,4,36
620,P Chopra,1,8,2,0,1,5,0,0,0,8
621,JPR Scantlebury-Searles,2,8,0,1,1,5,0,0,0,6
622,Abhishek Sharma,6,72,4,5,3,42,0,0,0,46
623,IS Sodhi,23,405,41,8,17,674,2,0,2,88
624,DL Chahar,6,71,2,6,5,40,0,0,1,39
625,SP Goswami,19,293,32,3,17,285,1,0,2,52
626,S Dube,6,50,1,3,4,41,0,0,0,24
627,NA Saini,3,2,0,0,1,4,0,0,2,2
628,CA Ingram,102,2531,219,97,84,2147,17,3,8,124
629,KMA Paul,8,36,1,2,6,50,0,0,1,11
630,Rasikh Salam,1,5,0,0,0,4,0,0,0,5
631,N Pooran,26,785,62,36,23,726,4,1,0,118
632,NS Naik,3,30,2,0,3,47,0,0,0,22
633,GH Vihari,26,583,63,2,21,817,2,2,0,164
634,P Ray Barman,1,19,2,0,1,24,0,0,0,19
635,SM Curran,23,351,37,11,17,280,2,0,2,55
636,GC Viljoen,5,31,5,0,3,43,0,0,1,26
637,Avesh Khan,1,4,1,0,0,3,0,0,0,4
638,S Lamichhane,7,18,1,0,6,22,0,0,2,9
639,RD Chahar,5,15,2,0,2,11,0,0,1,10
640,HF Gurney,11,22,2,0,4,43,0,0,3,6
641,SD Lad,1,15,1,1,1,12,0,0,0,15
642,R Parag,5,160,17,5,4,129,0,0,0,50
643,JL Denly,60,1662,183,37,51,2073,14,1,6,108
644,KK Ahmed,1,0,0,0,1,1,0,0,1,0
645,AJ Turner,59,991,54,46,42,703,5,0,9,70
646,DP Hughes,44,1158,116,23,36,971,8,0,3,85
647,KR Patterson,24,442,43,5,22,393,0,0,1,48
648,RJ Gibson,10,131,9,1,8,136,1,0,0,53
649,AJ Nair,12,126,4,4,7,106,0,0,3,45
650,JJ Peirson,43,755,71,23,37,568,2,0,4,57
651,SD Heazlett,18,218,19,8,17,182,0,0,2,45
652,JA Burns,59,1926,194,46,52,2349,8,4,5,235
653,AI Ross,37,765,56,26,30,585,4,0,3,65
654,MT Steketee,13,54,2,4,11,45,0,0,4,13
655,JK Lalor,16,77,7,1,8,78,0,0,2,14
656,KP Pietersen,291,12206,1306,215,254,15191,90,25,17,227
657,EP Gulbis,28,386,35,11,21,284,1,0,3,61
658,AJ Doolan,26,579,67,5,23,797,3,1,1,116
659,BR McDermott,34,921,55,41,26,679,3,1,1,114
660,CJ Boyce,30,247,16,16,21,181,1,0,5,51
661,MS Harris,41,909,105,23,40,774,3,0,1,85
662,AT Carey,33,1147,128,22,25,938,9,0,1,100
663,J Weatherald,33,828,80,35,29,636,7,1,1,115
664,JS Lehmann,25,267,25,3,20,237,0,0,5,46
665,JR Dean,19,317,19,24,15,226,1,0,2,54
666,CJ Green,29,321,20,11,17,224,0,0,5,49
667,Fawad Ahmed,11,21,2,0,5,33,0,0,3,5
668,AL Fekete,4,3,0,0,1,11,0,0,1,1
669,DR Sams,15,176,9,10,15,121,0,0,2,42
670,WG Bosisto,10,102,11,0,7,105,0,0,1,36
671,JR Philippe,16,311,35,7,11,198,2,0,1,86
672,HWR Cartwright,29,492,38,12,22,521,3,0,3,65
673,M Labuschagne,10,395,52,0,10,732,4,1,2,154
674,B Doggett,6,16,0,0,3,19,0,0,0,6
675,AC Agar,35,612,45,21,23,599,2,1,3,112
676,JP Inglis,7,123,13,4,6,94,1,0,0,55
677,PSP Handscomb,46,1323,123,16,33,1777,10,3,3,150
678,JW Hastings,45,542,47,22,28,510,2,0,5,52
679,JC Silk,42,942,52,21,31,763,3,0,1,69
680,BJ Dwarshuis,17,139,7,5,10,113,0,0,1,21
681,JD Wildermuth,15,154,6,10,15,128,0,0,2,29
682,TP Ludeman,41,924,87,29,33,744,5,0,1,92
683,JA Richardson,7,52,4,2,3,45,0,0,1,16
684,CA Rose,11,92,6,2,5,74,0,0,1,29
685,TS Rogers,1,0,0,0,1,1,0,0,1,0
686,PM Siddle,68,1186,127,5,51,2392,2,1,9,101
687,CJ Gannon,11,82,7,2,5,76,0,0,1,23
688,MJ Swepson,10,26,2,0,6,24,0,0,2,9
689,GS Sandhu,13,50,4,1,5,51,0,0,2,11
690,TH David,20,813,75,27,15,658,6,0,0,97
691,S Milenko,20,233,16,12,10,166,1,0,1,66
692,JS Paris,3,15,1,0,2,17,0,0,0,13
693,SE Gotch,17,279,18,7,14,254,0,0,0,48
694,CT Bancroft,24,672,48,19,19,654,5,0,2,87
695,MW Short,16,245,14,8,15,229,2,0,1,65
696,BJ Webster,11,174,12,3,7,146,1,0,1,67
697,JM Holland,5,7,0,0,2,27,0,0,2,5
698,JM Vince,45,1283,156,20,43,1293,7,0,1,81
699,JS Lenton,6,111,7,6,3,74,0,0,0,27
700,SM Whiteman,28,475,42,13,26,380,2,0,2,68
701,CP Tremain,17,100,8,4,6,102,0,0,7,37
702,TT Bresnan,122,1927,185,28,84,2727,5,1,12,101
703,DJ Worrall,6,39,3,1,1,28,0,0,1,13
704,MT Renshaw,17,748,86,7,15,1401,6,1,2,184
705,TD Paine,79,2164,239,29,74,2856,16,2,6,111
706,M Kelly,4,27,2,1,3,19,0,0,1,18
707,M Bryant,14,335,42,14,12,218,1,0,1,71
708,JL Pattinson,32,477,45,8,22,1041,2,0,3,71
709,JP Behrendorff,12,74,5,1,6,65,0,0,1,26
710,Usman Qadir,4,9,0,0,1,18,0,0,0,5
711,SB Harper,20,351,39,10,18,246,1,0,3,56
712,W Sutherland,1,7,0,0,0,8,0,0,0,7
713,JJS Sangha,10,178,11,5,8,159,2,0,0,63
714,TJ Dean,2,18,1,0,2,18,0,0,0,11
715,NCR Larkin,9,174,17,2,5,150,0,0,1,45
716,J Edwards,7,66,6,0,7,65,0,0,0,17
717,KR Smith,3,44,4,0,2,41,0,0,1,41
718,C Valente,5,66,6,1,2,49,0,0,0,21
719,JD Cook,2,14,1,0,1,15,0,0,0,12
720,N McAndrew,2,8,1,0,0,8,0,0,0,7
721,SL Rainbird,5,2,0,0,4,6,0,0,3,1
722,L Pope,2,5,1,0,1,5,0,0,1,5
723,GA West,1,0,0,0,0,1,0,0,1,0
724,MW Harvey,12,162,17,5,12,135,0,0,0,38
725,Usman Shinwari,2,5,0,0,0,6,0,0,0,3
726,J Avendano,3,35,2,2,3,33,0,0,1,30
727,J Merlo,3,22,3,0,3,19,0,0,0,11
728,HJ Nielsen,4,80,6,2,2,58,0,0,0,44
729,SM Boland,13,43,3,0,6,53,0,0,3,8
730,L Bowe,2,2,0,0,1,3,0,0,1,2
731,AP Devcich,27,594,70,14,26,538,4,0,3,70
732,LN O'Connor,5,5,0,0,3,17,0,0,1,2
733,JM Mennie,8,28,2,0,8,55,0,0,1,10
734,JR Doran,3,10,0,0,2,11,0,0,1,7
735,TL O'Connell,2,9,1,0,0,7,0,0,1,9
736,BAD Manenti,1,2,0,0,0,2,0,0,0,2
737,AM Hardie,1,8,1,0,1,7,0,0,0,8
738,CP Jewell,7,123,15,2,6,94,1,0,0,61
739,JA Prestwidge,1,1,0,0,0,1,0,0,0,1
740,NR Hobson,4,86,5,3,3,74,0,0,0,43
741,M Gilkes,2,51,5,3,2,40,1,0,1,51
742,BJ Holt,2,41,1,3,1,34,0,0,0,37
743,CD Hinchliffe,2,12,0,0,1,16,0,0,0,9
744,SP Terry,6,37,3,0,6,70,0,0,1,16
745,Harpreet Brar,1,20,2,1,0,14,0,0,0,20
746,SE Rutherford,9,88,3,7,7,65,0,0,0,28
747,Y Prithvi Raj,1,0,0,0,0,1,0,0,1,0
748,KC Cariappa,5,24,0,2,3,18,0,0,0,12
749,Gurkeerat Singh,29,453,49,11,26,341,2,0,4,65
750,P Simran Singh,1,16,1,1,1,17,0,0,0,16
751,J Suchith,6,54,4,2,2,46,0,0,1,34
752,AK Markram,8,184,23,2,8,281,0,0,1,45
753,HE van der Dussen,7,312,14,10,6,343,2,0,0,95
754,D Pretorius,7,99,7,4,5,91,0,0,0,50
755,L Ngidi,4,9,0,1,2,18,0,0,1,6
756,L Tucker,11,144,14,1,9,148,1,0,2,56
757,MR Adair,24,282,17,13,17,241,0,0,1,38
758,WB Rankin,31,152,12,2,10,281,0,0,4,23
759,J Little,3,9,2,0,3,8,0,0,2,9
760,BT Foakes,7,119,7,1,4,127,1,0,0,61
761,Imam-ul-Haq,16,672,68,2,13,879,4,1,0,151
762,Haris Sohail,47,1390,106,21,37,1626,11,0,1,89
763,HDRL Thirimanne,145,4319,365,31,121,7060,31,5,7,157
764,FDM Karunaratne,63,3168,318,6,57,6099,23,8,3,186
765,BMAJ Mendis,62,838,64,17,48,929,1,0,4,72
766,I Udana,20,121,5,5,15,129,0,0,2,17
767,Mohammad Shahzad,107,3439,399,107,97,3117,24,4,6,139
768,Hazratullah,18,365,40,13,18,403,0,0,2,50
769,Hashmatullah Shahidi,31,811,77,4,26,1486,7,0,2,83
770,Hamid Hassan,21,102,9,3,11,159,0,0,5,22
771,Mohammad Mithun,20,302,28,8,20,398,0,0,4,47
772,Asif Ali,27,481,27,29,21,342,2,0,0,52
773,Mohammad Saifuddin,9,107,15,1,5,84,1,0,1,51
774,LH Ferguson,9,20,2,0,5,52,0,0,3,4
775,SS Cottrell,14,76,6,3,8,106,0,0,3,17
776,O Thomas,8,13,1,0,3,53,0,0,5,6
777,Ikram Alikhil,11,235,18,1,7,410,2,0,0,86
778,Aftab Alam,12,39,6,1,6,48,0,0,4,14
779,AE Jones,32,749,87,9,30,834,5,0,6,91
780,KL Cross,9,29,1,0,3,93,0,0,2,8
781,S Ecclestone,8,76,8,3,4,79,0,0,1,27
782,SA Campbelle,46,668,56,9,33,941,1,1,3,105
783,SACA King,35,419,38,4,27,498,0,0,3,43
784,CA Henry,12,133,12,0,10,180,0,0,0,39
785,B Cooper,34,478,49,7,26,631,2,0,3,61
786,KJ Garth,37,784,60,3,23,1077,3,0,3,98
787,Shaheen Shah Afridi,6,28,2,1,5,41,0,0,2,19
788,TAM Siriwardana,39,921,76,32,35,973,5,1,4,110
789,Liton Das,31,774,83,14,29,908,3,0,3,94
790,NY McLean,16,176,19,2,12,269,0,0,2,23
791,K Ramharack,4,6,0,0,2,15,0,0,1,3
792,F Baleri,9,154,14,4,8,238,0,0,0,46
793,R Bakum,4,45,4,2,4,43,0,0,1,18
794,S Ateak,8,218,19,5,6,278,1,0,0,75
795,SL Perera,2,10,0,0,2,22,0,0,0,7
796,DNA Ankrah,7,101,6,3,5,152,0,0,0,43
797,JH Mensah,8,111,13,4,7,92,0,0,1,36
798,M Aboagye,3,47,3,0,2,52,0,0,0,24
799,IKO Aboagye,10,105,5,6,7,117,0,0,2,36
800,DK Anefie,4,34,2,0,2,36,0,0,1,18
801,N Davin,16,335,34,15,15,208,1,0,1,54
802,AS Wright,3,46,3,3,3,46,0,0,1,43
803,MWR Stokes,12,356,36,0,9,500,1,1,1,135
804,J Butler,5,83,7,1,4,100,0,0,0,36
805,DR Hooper,11,158,11,1,7,197,1,0,2,55
806,LJ Barker,8,71,7,0,8,124,0,0,1,20
807,LB Ferbrache,12,303,19,9,10,324,2,0,0,68
808,TCR Kimber,4,21,2,0,4,48,0,0,0,16
809,LC Le Tissier,6,32,1,0,2,30,0,0,0,9
810,ACF Stokes,3,0,0,0,3,5,0,0,3,0
811,TCW Veillard,1,3,0,0,0,5,0,0,0,3
812,W Peatfield,3,20,1,1,3,13,0,0,0,15
813,D Weston,3,40,4,2,3,26,0,0,0,21
814,Mudassar Muhammad,3,58,2,2,3,69,0,0,0,30
815,VB Chikkannaiah,2,32,0,0,2,40,0,0,0,21
816,CAJ Meschede,11,222,11,15,8,167,1,0,0,67
817,V Ganesan,1,4,0,0,1,5,0,0,0,4
818,H Singh,3,27,2,0,1,29,0,0,0,12
819,Amir Mangal,5,38,2,3,3,23,0,0,0,11
820,ND Laegsgaard,9,101,11,2,7,95,0,0,3,39
821,HAM Shah,30,642,37,15,28,943,4,0,4,93
822,T Bharaj,7,104,2,2,5,136,1,0,1,68
823,Delawar Khan,10,69,2,5,8,46,0,0,3,23
824,Anique Uddin,10,140,6,0,7,182,0,0,0,43
825,Rizwan Mahmood,21,254,12,7,21,372,0,0,3,37
826,OD Hald,11,82,5,5,8,76,0,0,1,27
827,Zishan Shah,12,235,20,2,10,313,0,0,0,50
828,Raza Iqbal,6,52,7,0,6,66,0,0,1,19
829,E Ul Haq,5,22,2,0,5,34,0,0,0,10
830,Walid Ghauri,3,49,6,1,3,42,0,0,0,38
831,Ansar Iqbal,3,24,2,0,3,37,0,0,0,15
832,Tafseer Ali,5,110,11,1,3,151,1,0,0,79
833,Hayatullah Niazi,3,43,1,2,3,40,0,0,0,27
834,Khizer Ahmed,4,32,1,0,2,44,0,0,1,18
835,Abdullah Sheikh,2,13,1,0,2,17,0,0,0,11
836,S Waqas Ahmed,5,9,0,0,4,22,0,0,3,8
837,Junaid Sheikh,3,19,1,1,3,17,0,0,0,9
838,P Bhart,3,3,0,0,1,18,0,0,1,2
839,NJ Ferraby,9,122,18,0,9,101,0,0,2,41
840,BDH Stevens,24,589,57,11,21,674,3,1,2,103
841,C Bisson,20,299,31,7,17,273,0,0,3,48
842,JW Jenner,26,796,60,30,22,714,7,0,1,90
843,DG Blampied,9,119,5,0,5,125,0,0,0,21
844,AW Hawkins-Kay,20,317,19,3,13,385,1,0,1,60
845,B Ward,10,183,7,12,7,145,1,0,1,58
846,JE Dunford,9,39,0,0,6,62,0,0,2,13
847,CW Perchard,16,116,8,2,12,145,0,0,4,34
848,EJB Miles,2,12,1,0,0,9,0,0,0,7
849,WJR Robertson,1,1,0,0,0,2,0,0,0,1
850,Abdul Hashim,7,71,5,0,4,71,0,0,2,29
851,SA Ahmad,8,190,21,2,6,198,1,0,1,67
852,J Jojo,10,94,3,4,6,98,0,0,0,30
853,BBJL Perera,17,274,25,10,15,235,1,0,1,67
854,Manpreet Singh,25,474,35,7,24,585,0,0,0,50
855,NA Maiolo,4,34,2,1,4,37,0,0,0,25
856,GP Meade,9,142,13,1,9,199,1,0,1,61
857,MJ Ross,4,55,2,3,2,39,0,0,0,34
858,Anam Mollik,1,9,1,0,1,8,0,0,0,9
859,Rakibul Hasan,4,14,1,0,3,14,0,0,1,5
860,GRD Munasinghe,13,113,11,1,8,144,0,0,4,42
861,Baljit Singh,3,4,0,0,3,13,0,0,1,3
862,Charanjeet Singh,4,20,2,0,0,27,0,0,0,8
863,S Arachchige,1,0,0,0,1,1,0,0,1,0
864,M Samake,1,1,0,0,1,6,0,0,0,1
865,R Cisse,1,0,0,0,1,1,0,0,1,0
866,O Sow,1,0,0,0,1,5,0,0,1,0
867,A Kone,1,0,0,0,1,2,0,0,1,0
868,M Coulibaly,1,0,0,0,1,11,0,0,1,0
869,N Traore,1,0,0,0,0,6,0,0,1,0
870,T Konate,1,0,0,0,1,6,0,0,1,0
871,A Sangare,1,0,0,0,1,5,0,0,1,0
872,B Coulibaly,1,0,0,0,0,1,0,0,1,0
873,Y Sangare,1,0,0,0,1,1,0,0,1,0
874,S Kagnassy,1,0,0,0,1,3,0,0,1,0
875,A Uwimbabazi,5,31,0,0,3,48,0,0,0,11
876,J Nyirankundineza,3,7,1,0,0,8,0,0,1,5
877,WIA Fernando,18,507,47,10,18,514,3,1,2,104
878,KAJ Roach,83,830,79,10,50,2045,0,0,15,41
879,P Agnihotri,2,25,2,0,2,34,0,0,0,19
880,Nazakat Ali,2,35,1,3,2,29,0,0,0,25
881,Abdul-Shakoor Rahimzei,3,33,2,1,1,22,0,0,0,17
882,MJ Richardson,15,238,23,5,11,200,0,0,1,37
883,Asad Mohammad,2,37,2,4,2,13,0,0,0,32
884,Sahir Naqash,2,54,1,5,1,23,0,0,0,38
885,R Pillai,4,44,1,0,3,63,0,0,1,20
886,Izatullah Dawlatzai,4,25,2,2,2,24,0,0,2,24
887,Javed Maroofkhail,1,3,0,0,1,7,0,0,0,3
888,OE Newey,11,382,24,4,9,627,2,1,0,129
889,J Sumerauer,2,8,1,0,1,9,0,0,0,6
890,Rehman Abdul,3,47,2,1,2,51,0,0,0,28
891,Jaspreet Singh,2,19,1,0,2,21,0,0,0,11
892,A Bulow,8,104,9,4,7,136,0,0,1,45
893,A Sarma,2,45,3,2,2,49,0,0,0,28
894,JL Martel,1,13,1,1,0,6,0,0,0,13
895,Omar Hayat,3,7,0,0,3,9,0,0,0,5
896,Bashir Shah,15,52,2,1,9,102,0,0,2,19
897,Simranjit Singh,1,8,0,0,1,8,0,0,0,8
898,SW Ambris,6,314,37,1,5,319,2,1,0,148
899,FA Allen,6,77,9,2,3,62,1,0,1,51
900,HM Nicholls,32,1048,111,3,28,1862,9,2,2,125
901,Sayed Shirzad,1,25,2,2,1,16,0,0,0,25
902,DM Kimmince,10,139,9,1,6,161,0,0,1,43
903,BRM Taylor,167,5583,490,86,144,7417,37,11,17,273
904,R Mutumbami,54,1017,103,26,48,1397,5,0,5,67
905,KM Jarvis,33,230,18,6,20,429,0,0,8,32
906,CB Mpofu,40,93,3,4,22,207,0,0,15,20
907,JA McCollum,9,238,32,1,9,408,2,0,0,73
908,Umar Adam,4,74,10,1,3,62,1,0,0,53
909,Ahmed Hassan,9,105,4,0,8,231,0,0,1,41
910,Mohamed Rishwan,9,151,11,7,8,184,0,0,1,39
911,MNR Cooray,2,96,12,3,1,71,1,0,0,56
912,Shafraz Jaleel,8,65,8,0,7,121,0,0,3,26
913,Hassan Rasheed,3,17,0,1,3,41,0,0,0,13
914,WJ Malinda,2,11,0,1,1,8,0,0,0,10
915,Ameel Mauroof,1,3,0,0,0,7,0,0,0,3
916,DF Jacobs,4,58,7,0,4,80,0,0,0,20
917,Md Shafiqul Haque,4,88,5,6,3,63,0,0,0,38
