,Batsmen,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score
102,GJ Bailey,211,5978,474,143,168,5985,43,3,9,156
103,DJ Hussey,193,4507,314,137,155,4089,21,0,14,88
104,CL White,230,5655,414,180,174,5556,35,2,12,105
105,AC Voges,107,3641,350,30,69,4647,20,6,0,269
106,LJ Wright,153,3261,327,104,134,2666,15,2,17,117
107,JP Faulkner,150,2226,151,72,84,1961,4,1,8,116
108,CJ McKay,49,327,22,6,30,460,0,0,6,30
109,DA Warner,370,17057,1840,394,332,16706,136,39,15,280
110,CA Philipson,2,4,0,0,2,13,0,0,0,2
111,DJ Harris,17,348,34,10,16,324,0,0,0,49
112,MJ Buchanan,1,11,1,0,1,17,0,0,0,11
113,AK Heal,2,1,0,0,2,3,0,0,1,1
114,DP Nannes,10,30,1,1,6,35,0,0,3,12
115,SW Tait,26,92,9,3,13,101,0,0,7,12
116,RT Ponting,214,9492,997,88,191,13067,77,24,11,298
117,RJG Lockyear,4,34,2,1,4,38,0,0,0,23
118,JJ Krejza,7,92,8,0,6,176,1,0,0,62
119,Naved-ul-Hasan,31,350,23,13,20,369,0,0,2,33
120,XJ Doherty,37,201,15,1,12,387,0,0,6,23
121,BW Hilfenhaus,54,528,59,11,31,830,1,0,14,57
122,B Laughlin,24,94,5,3,17,109,0,0,5,22
123,HH Gibbs,143,4247,461,110,132,4230,34,6,16,175
124,MJ North,42,1636,180,15,36,2827,11,6,1,131
125,SM Katich,85,4304,481,25,73,7468,34,15,5,194
126,MEK Hussey,312,12474,1109,192,245,16946,99,18,6,211
127,PD Collingwood,193,6311,526,107,160,9083,45,11,10,170
128,MR Marsh,120,3098,254,99,90,3573,16,2,8,134
129,L Ronchi,124,2721,292,96,105,2248,15,3,14,170
130,GB Hogg,42,486,32,8,25,601,1,0,4,80
131,NJ Rimmington,18,125,5,4,10,121,0,0,2,26
132,MA Beer,12,31,1,0,5,57,0,0,1,7
133,MG Neser,33,340,24,11,20,257,0,0,2,40
134,RJ Harris,59,799,77,13,35,1105,3,0,4,95
135,PM Nevill,49,800,79,5,32,1432,4,0,2,83
136,DJ Bravo,327,6646,504,215,249,7262,26,3,21,126
137,DJ Thornely,12,129,5,7,8,112,0,0,1,30
138,B Lee,114,1283,112,36,67,1712,4,0,22,67
139,JR Hazlewood,34,294,43,1,17,641,0,0,5,39
140,MA Starc,90,1572,150,40,57,2046,12,1,6,134
141,SCG MacGill,2,8,1,0,1,16,0,0,0,6
142,SE Marsh,195,7418,750,155,173,8768,61,8,9,192
143,BJ Rohrer,60,1121,89,34,40,820,2,0,4,64
144,CP Simpson,1,8,1,0,0,5,0,0,0,8
145,RE van der Merwe,71,1241,94,47,47,1091,6,1,4,137
146,SJ Coyte,24,287,30,3,15,329,1,0,2,51
147,FH Edwards,47,318,34,1,19,826,0,0,9,33
148,IA Moran,2,21,2,1,2,15,0,0,0,20
149,MG Hogan,7,41,2,2,4,35,0,0,0,13
150,NL McCullum,105,1418,89,43,78,1527,3,0,7,65
151,SNJ O'Keefe,38,395,41,6,28,658,0,0,3,48
152,BG Drew,2,15,1,0,2,23,0,0,0,10
153,DR Salpietro,2,13,0,0,2,25,0,0,0,12
154,DL Vettori,155,3613,365,25,108,4839,16,9,9,163
155,SM Harwood,4,12,0,0,1,22,0,0,1,6
156,TJ Armstrong,2,15,1,0,2,27,0,0,0,11
157,MR Day,1,29,1,1,0,22,0,0,0,29
158,JEC Franklin,128,2281,172,52,87,2969,8,0,8,98
159,NM Lyon,77,836,105,5,49,1658,0,0,8,40
160,DM Bravo,159,6251,638,103,140,11398,47,12,9,258
161,KC Brathwaite,49,2621,239,3,44,6010,20,7,1,216
162,KOA Powell,61,2085,267,15,59,3516,16,2,3,227
163,SO Hetmyer,29,644,59,17,26,735,2,0,3,75
164,SD Hope,47,2082,171,27,42,3359,16,4,0,170
165,VA Singh,3,63,4,0,3,193,0,0,0,35
166,RL Chase,24,1147,113,6,19,2236,8,3,2,170
167,SO Dowrich,11,524,63,4,10,1089,5,1,0,107
168,D Bishoo,39,568,55,3,29,1326,1,0,8,57
169,JO Holder,97,2306,225,55,79,3085,16,1,10,119
170,AS Joseph,13,117,10,2,8,207,0,0,1,27
171,ST Gabriel,33,135,16,2,19,332,0,0,11,20
172,Azhar Ali,110,6768,622,30,98,14253,53,20,2,304
173,Ahmed Shehzad,160,5144,532,65,153,6876,37,10,10,176
174,Babar Azam,92,4030,373,51,78,4659,32,8,3,125
175,Younis Khan,213,9586,853,89,189,15777,64,28,13,313
176,Misbah-ul-Haq,248,10356,817,195,192,17330,85,14,6,202
177,Asad Shafiq,137,5281,540,35,121,9667,37,14,8,175
178,Sarfraz Ahmed,149,4953,447,31,107,5743,35,6,1,158
179,Mohammad Amir,70,1037,108,15,48,2130,3,0,6,73
180,Wahab Riaz,118,1260,106,43,82,1633,3,0,20,58
181,Yasir Shah,44,555,59,6,36,1015,0,0,7,41
182,Mohammad Abbas,4,10,1,0,2,82,0,0,0,4
183,TM Head,84,2522,203,87,71,2353,16,2,3,128
184,A Choudhary,3,25,1,1,2,18,0,0,0,15
185,Ishan Kishan,32,655,60,33,30,490,3,0,4,62
186,SK Raina,444,12884,1173,365,363,12139,90,8,26,120
187,RA Jadeja,269,5463,436,145,174,6150,25,0,13,92
188,SV Samson,88,2179,166,89,77,1632,11,2,5,102
189,KK Nair,70,1834,200,41,62,1656,9,1,2,303
190,SS Iyer,67,1939,167,80,58,1490,14,0,5,96
191,RR Pant,70,2076,182,101,60,1473,13,1,6,128
192,CH Morris,75,1155,90,45,50,1003,4,0,8,82
193,CJ Anderson,108,2762,246,124,91,2918,14,3,9,131
194,AR Bawne,1,12,1,0,0,12,0,0,0,12
195,SP Jackson,3,38,5,0,2,29,0,0,0,16
196,S Dhawan,300,10350,1231,160,267,10615,72,14,11,187
197,KS Williamson,263,12924,1304,116,219,18325,99,30,7,311
198,Yuvraj Singh,346,10011,951,354,287,10231,66,10,17,150
199,MJ Guptill,281,10503,1132,266,247,13608,78,20,16,245
200,M Vohra,45,1012,97,39,41,759,3,0,3,95
201,EJG Morgan,337,9818,814,319,275,10054,65,13,18,148
202,WP Saha,122,2871,265,70,95,3643,13,5,4,118
203,AR Patel,85,1028,57,46,56,831,0,0,8,44
204,Anureet Singh,8,36,2,1,4,43,0,0,4,15
205,MM Sharma,36,156,14,4,18,178,0,0,9,21
206,I Sharma,116,770,81,2,66,2297,1,0,22,57
207,BM Edmondson,1,0,0,0,1,1,0,0,1,0
208,JM Muirhead,4,15,2,0,2,12,0,0,0,6
209,WD Sheridan,8,66,4,0,4,64,0,0,1,15
210,MJ Cosgrove,22,458,49,12,21,365,4,0,2,74
211,JM Bird,21,72,2,1,9,175,0,0,3,19
212,Sachin Baby,10,137,11,5,8,97,0,0,1,33
213,AF Milne,25,196,12,4,14,192,0,0,3,36
214,KD Karthik,235,5126,515,118,186,4732,22,0,14,97
215,IK Pathan,149,2353,201,64,97,2447,5,0,9,74
216,AJ Tye,34,255,19,11,23,206,0,0,7,42
217,Basil Thampi,7,32,1,1,2,35,0,0,1,13
218,Ankit Soni,3,7,0,1,2,8,0,0,2,7
219,KH Pandya,49,901,83,36,34,621,1,0,2,86
220,MJ McClenaghan,47,226,18,11,25,232,0,0,13,34
221,JJ Bumrah,16,41,2,1,6,68,0,0,7,16
222,SL Malinga,139,728,61,28,95,898,2,0,38,64
223,SW Billings,71,1286,118,30,61,1032,8,0,8,78
224,K Rabada,51,528,59,8,32,814,0,0,10,44
225,A Mishra,83,1053,112,8,53,1543,4,1,12,127
226,Mohammed Shami,64,412,37,18,37,518,1,0,15,55
227,S Nadeem,18,33,1,0,13,74,0,0,6,6
228,HM Amla,296,15748,1769,98,256,22910,120,53,7,311
