,Batsmen,clus,_c0,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score,ave,sr,custom
341,GH Worker,1,341,6,198,13,6,4,239,1,0,0,62,49.5,82.84518828451883,1.5564853556485356
342,LRPL Taylor,2,342,390,15290,1474,271,317,20259,108,38,17,326,48.23343848580441,75.4726294486401,6.275729305493854
343,NT Broom,2,343,56,1248,107,15,50,1439,8,1,7,109,24.96,86.72689367616401,4.2418346073662265
344,JDS Neesham,2,344,85,2191,229,40,68,2502,10,3,3,170,32.220588235294116,87.56994404476418,5.7753796962430055
345,C Munro,2,345,76,1556,133,71,66,1261,7,1,9,101,23.575757575757574,123.39413164155432,6.087232355273592
346,SC Kuggeleijn,2,346,3,19,1,1,2,11,0,0,1,11,9.5,172.72727272727272,3.0
347,MJ Santner,0,347,73,1216,114,28,49,1970,3,1,5,103,24.816326530612244,61.725888324873104,3.816751269035533
348,Simi Singh,3,348,4,14,1,0,4,31,0,0,2,9,3.5,45.16129032258064,1.1612903225806452
349,Vishnu Vinod,0,349,3,19,1,1,3,23,0,0,0,9,6.333333333333333,82.6086956521739,1.173913043478261
350,Shan Masood,1,350,10,462,42,4,10,1037,4,1,0,138,46.2,44.55159112825458,1.33076181292189
351,Hasan Ali,2,351,26,188,14,11,17,145,0,0,4,32,11.058823529411764,129.65517241379308,5.7379310344827585
352,A Steyn,1,352,17,388,50,0,14,643,2,1,0,117,27.714285714285715,60.342146189735615,3.093312597200622
353,CJ Jordan,2,353,66,740,62,26,45,810,1,0,8,54,16.444444444444443,91.35802469135803,4.4
354,IR Jaggi,0,354,7,76,6,0,5,95,0,0,0,28,15.2,80.0,2.0631578947368423
355,Mosaddek Hossain,1,355,38,813,68,20,28,953,3,0,1,88,29.035714285714285,85.30954879328436,3.508919202518363
356,Mehedi Hasan Miraz,0,356,21,411,54,2,18,724,3,0,1,74,22.833333333333332,56.767955801104975,2.1464088397790055
357,Mashrafe Mortaza,2,357,142,1656,153,57,108,1890,1,0,14,63,15.333333333333334,87.61904761904762,4.733333333333333
358,Mustafizur Rahman,0,358,28,71,7,2,17,117,0,0,11,18,4.176470588235294,60.68376068376068,4.3076923076923075
359,PP Chawla,2,359,90,627,58,18,57,560,0,0,14,24,11.0,111.96428571428572,3.857142857142857
360,AS Rajpoot,3,360,5,17,2,0,3,28,0,0,0,8,5.666666666666667,60.71428571428571,1.4285714285714286
361,CL Tryon,2,361,53,993,92,42,36,807,3,0,7,79,27.583333333333332,123.04832713754648,5.188351920693928
362,S Pandey,0,362,19,244,26,2,13,367,0,0,4,36,18.76923076923077,66.4850136239782,1.8637602179836512
363,J Goswami,0,363,34,356,31,6,27,486,0,0,4,43,13.185185185185185,73.25102880658436,3.0082304526748973
364,E Bisht,0,364,13,62,6,0,8,77,0,0,2,14,7.75,80.51948051948052,2.3636363636363638
365,S Verma,2,365,9,57,4,1,6,66,0,0,1,33,9.5,86.36363636363636,4.5
366,RS Gayakwad,3,366,3,7,0,0,1,18,0,0,1,5,7.0,38.88888888888889,0.8333333333333334
367,E Mbofana,3,367,3,5,1,0,2,15,0,0,2,5,2.5,33.33333333333333,1.0
368,CA Young,0,368,12,27,2,1,7,41,0,0,3,11,3.857142857142857,65.85365853658537,3.2195121951219514
369,MG Johnson,2,369,201,3265,346,62,136,4620,15,2,22,158,24.00735294117647,70.67099567099568,6.874025974025974
370,A Khaka,0,370,19,58,4,0,9,120,0,0,4,15,6.444444444444445,48.333333333333336,2.375
371,MM Ali,1,371,135,3897,408,90,110,5621,26,9,13,190,35.42727272727273,69.32930083615015,4.5632449742038785
372,Q de Kock,1,372,197,7707,887,154,178,7985,54,21,8,178,43.29775280898876,96.5184721352536,4.391484032561052
373,F du Plessis,1,373,259,10057,964,158,219,13467,78,21,7,188,45.922374429223744,74.67884458305487,3.6156530778941116
374,JP Duminy,1,374,347,10585,833,214,255,13156,67,9,14,166,41.509803921568626,80.4575858923685,4.378382487078139
375,DA Miller,2,375,212,5241,370,195,146,4434,25,5,7,138,35.897260273972606,118.20027063599458,6.598105548037889
376,WD Parnell,0,376,63,752,64,12,39,989,1,0,3,56,19.28205128205128,76.03640040444894,3.5672396359959557
377,AL Phehlukwayo,1,377,19,301,32,9,9,319,0,0,3,46,33.44444444444444,94.35736677115987,2.739811912225705
378,F Behardien,2,378,77,1558,116,38,53,1462,6,0,6,70,29.39622641509434,106.56634746922025,3.6867305061559508
379,TS Roland-Jones,2,379,10,130,12,4,5,98,0,0,0,37,26.0,132.6530612244898,3.7755102040816326
380,JT Ball,0,380,10,93,11,1,9,146,0,0,1,33,10.333333333333334,63.6986301369863,2.26027397260274
381,ST Finn,0,381,62,429,48,3,34,1109,1,0,18,76,12.617647058823529,38.68349864743011,4.248872858431019
382,MJ Henry,2,382,31,449,52,14,22,475,1,0,6,87,20.40909090909091,94.52631578947368,5.677894736842105
383,JS Patel,0,383,42,466,47,5,30,813,0,0,8,49,15.533333333333333,57.31857318573186,2.5313653136531364
384,Imrul Kayes,1,384,102,3350,388,37,95,5764,22,6,5,201,35.26315789473684,58.11936155447606,3.556904927133935
385,N Dickwella,1,385,38,1435,151,12,37,1670,11,2,1,116,38.78378378378378,85.92814371257485,2.6395209580838324
386,WU Tharanga,1,386,202,6728,777,50,183,9175,52,16,18,174,36.76502732240437,73.32970027247956,3.8308446866485015
387,BKG Mendis,1,387,73,2797,314,42,66,3846,27,3,5,213,42.378787878787875,72.72490899635984,4.042901716068643
388,LD Chandimal,1,388,194,6463,574,71,168,9663,48,13,10,221,38.470238095238095,66.88399047914726,4.436924350615751
389,CK Kapugedera,2,389,114,2330,169,57,97,2849,8,1,8,155,24.02061855670103,81.78308178308178,6.202176202176203
390,MDKJ Perera,2,390,123,3594,401,71,110,3725,25,6,10,135,32.67272727272727,96.48322147651007,4.457718120805369
391,DAS Gunaratne,1,391,31,988,99,13,21,1282,7,2,1,155,47.04761904761905,77.06708268330733,3.7480499219968797
392,S Prasanna,2,392,55,566,41,34,44,514,2,0,5,95,12.863636363636363,110.11673151750973,10.165369649805447
393,RAS Lakmal,0,393,73,612,74,6,42,1192,1,0,18,77,14.571428571428571,51.34228187919463,4.715604026845638
394,N Pradeep,0,394,40,151,21,0,22,339,0,0,12,26,6.863636363636363,44.54277286135693,3.0678466076696167
395,Usman Ghani,2,395,25,620,63,13,23,724,4,1,1,118,26.956521739130434,85.6353591160221,4.074585635359116
396,Gulbadin Naib,2,396,76,1145,84,45,61,1196,4,0,8,82,18.770491803278688,95.73578595317726,5.210702341137123
