,Batsmen,clus,_c0,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score,ave,sr,custom
1006,Mohamed Mahfooz,3,1006,6,28,1,0,5,61,0,0,1,12,5.6,45.90163934426229,1.180327868852459
1007,Ibrahim Hassan,3,1007,4,5,0,0,3,15,0,0,3,5,1.6666666666666667,33.33333333333333,1.3333333333333333
1008,Taijul Islam,3,1008,20,266,36,1,18,585,0,0,2,39,14.777777777777779,45.47008547008547,1.3333333333333333
1009,K Suttisan,2,1009,2,4,1,0,2,2,0,0,1,4,2.0,200.0,4.0
1010,SL Kalis,1,1010,14,400,34,6,10,491,1,1,0,126,40.0,81.4663951120163,3.5926680244399187
1011,HDJ Siegers,0,1011,15,171,15,3,12,162,0,0,1,29,14.25,105.55555555555556,2.685185185185185
1012,D Hannema,0,1012,8,97,5,0,6,113,0,0,1,40,16.166666666666668,85.84070796460178,2.831858407079646
1013,M Veringmeier,0,1013,15,274,28,1,13,300,1,0,0,53,21.076923076923077,91.33333333333333,2.65
1014,R Rijke,0,1014,10,124,10,0,6,157,0,0,1,39,20.666666666666668,78.98089171974523,2.484076433121019
1015,B de Leede,0,1015,13,156,9,1,9,223,0,0,0,50,17.333333333333332,69.95515695067265,2.914798206278027
1016,J Post,0,1016,9,42,3,0,7,61,0,0,3,18,6.0,68.85245901639344,2.6557377049180326
1017,HWA Landheer,0,1017,1,1,0,0,0,1,0,0,0,1,0.0,100.0,1.0
1018,S Haggo,0,1018,4,24,0,0,1,35,0,0,1,18,24.0,68.57142857142857,2.057142857142857
1019,V Stolle,0,1019,1,3,0,0,1,3,0,0,0,3,3.0,100.0,1.0
1020,MD Shanaka,2,1020,30,432,29,21,25,416,1,0,3,68,17.28,103.84615384615385,4.903846153846154
1021,GSNFG Jayasuriya,2,1021,22,388,29,10,21,405,1,0,2,96,18.476190476190474,95.80246913580247,5.214814814814815
1022,Anamul Haque,1,1022,48,1406,141,28,44,1902,7,2,6,120,31.954545454545453,73.92218717139852,3.028391167192429
1023,JD Campbell,1,1023,4,227,22,6,4,223,1,1,1,179,56.75,101.79372197309418,3.210762331838565
1024,M McColl,3,1024,2,11,0,0,1,19,0,0,0,7,11.0,57.89473684210527,0.7368421052631579
1025,IJR Zwilling,0,1025,6,34,4,0,3,45,0,0,1,16,11.333333333333334,75.55555555555556,2.1333333333333333
1026,M Faheem,3,1026,1,0,0,0,1,1,0,0,1,0,0.0,0.0,0.0
1027,TP Visee,2,1027,19,256,36,9,17,199,1,0,3,68,15.058823529411764,128.643216080402,6.492462311557789
1028,MP O'Dowd,2,1028,33,785,75,14,27,777,5,0,1,86,29.074074074074073,101.02960102960104,3.6525096525096523
1029,BN Cooper,2,1029,58,1556,161,40,47,1616,9,1,4,225,33.1063829787234,96.28712871287128,8.075495049504951
1030,W Barresi,2,1030,67,1527,156,34,57,1570,6,1,6,137,26.789473684210527,97.26114649681529,5.846496815286624
1031,Saqib Zulfiqar,0,1031,3,32,1,0,2,35,0,0,1,18,16.0,91.42857142857143,1.542857142857143
1032,PM Seelaar,2,1032,50,878,79,12,35,1144,3,1,5,167,25.085714285714285,76.74825174825175,7.298951048951049
1033,SA Edwards,2,1033,15,238,19,4,10,182,0,0,1,44,23.8,130.76923076923077,3.6263736263736264
1034,FJ Klaassen,0,1034,5,28,0,0,4,33,0,0,1,13,7.0,84.84848484848484,1.9696969696969697
1035,E Chigumbura,2,1035,189,4092,323,112,157,4910,17,2,14,117,26.063694267515924,83.34012219959267,4.503665987780041
1036,D Busingye,1,1036,5,112,8,0,3,146,1,0,2,65,37.333333333333336,76.71232876712328,2.2260273972602738
1037,P Alako,3,1037,2,13,2,0,2,26,0,0,0,7,6.5,50.0,0.5384615384615384
1038,R Musamali,0,1038,4,58,4,0,3,82,0,0,0,19,19.333333333333332,70.73170731707317,0.926829268292683
1039,E Iloku,0,1039,2,69,5,0,0,62,0,0,0,38,0.0,111.29032258064515,1.2258064516129032
1040,S Nampiina,0,1040,4,60,6,1,3,57,0,0,0,25,20.0,105.26315789473684,1.7543859649122806
1041,G Obukor,0,1041,1,4,0,0,1,3,0,0,0,4,4.0,133.33333333333331,1.3333333333333333
1042,JM Apio,0,1042,2,8,0,0,2,11,0,0,1,8,4.0,72.72727272727273,1.4545454545454546
1043,C Anayo,0,1043,1,1,0,0,0,1,0,0,0,1,0.0,100.0,1.0
1044,V Iriho,3,1044,4,28,1,0,4,53,0,0,0,15,7.0,52.83018867924528,1.1320754716981132
1045,S Uwera,3,1045,5,17,0,0,5,38,0,0,0,6,3.4,44.73684210526316,0.7894736842105263
1046,G Ishimwe,3,1046,5,38,2,0,5,65,0,0,2,19,7.6,58.46153846153847,1.4615384615384615
1047,DI Dusabemungu,3,1047,4,29,1,0,3,59,0,0,1,13,9.666666666666666,49.152542372881356,0.8813559322033898
1048,H Ishimwe,0,1048,5,88,9,0,4,82,0,0,1,48,22.0,107.31707317073172,2.926829268292683
1049,MD Bimenyimana,0,1049,4,28,3,0,4,50,0,0,1,23,7.0,56.00000000000001,1.84
1050,C Uwamahoro,3,1050,3,24,1,0,2,42,0,0,0,9,12.0,57.14285714285714,0.6428571428571429
1051,A Ikuzwe,0,1051,3,53,3,0,2,68,0,0,0,30,26.5,77.94117647058823,1.3235294117647058
1052,M Vumiliya,0,1052,4,26,3,0,1,31,0,0,0,11,26.0,83.87096774193549,1.4193548387096775
1053,FO Kibasu,0,1053,3,55,7,0,3,68,0,0,0,48,18.333333333333332,80.88235294117648,2.1176470588235294
1054,M Pascal,0,1054,3,58,8,0,3,60,1,0,1,53,19.333333333333332,96.66666666666667,2.65
1055,Hudaa Mohamedi,3,1055,1,4,0,0,0,10,0,0,0,4,0.0,40.0,0.4
1056,NJ Pius,0,1056,3,11,2,0,3,15,0,0,2,11,3.6666666666666665,73.33333333333333,2.2
1057,PZ Mamunya,0,1057,3,16,3,0,3,22,0,0,0,6,5.333333333333333,72.72727272727273,0.8181818181818182
1058,TS Omary,3,1058,3,17,2,0,3,36,0,0,0,10,5.666666666666667,47.22222222222222,0.8333333333333334
1059,S Mtae,3,1059,1,0,0,0,1,1,0,0,1,0,0.0,0.0,0.0
1060,NN Saidi,1,1060,3,35,3,0,1,51,0,0,1,19,35.0,68.62745098039215,1.1176470588235294
1061,SH Mohamedi,3,1061,2,0,0,0,1,6,0,0,2,0,0.0,0.0,0.0
1062,W Kevin,0,1062,1,4,1,0,1,5,0,0,0,4,4.0,80.0,0.8
1063,NO Tindo,0,1063,1,1,0,0,0,1,0,0,0,1,0.0,100.0,1.0
1064,I Nakisuuyi,0,1064,3,41,5,1,3,39,0,0,0,30,13.666666666666666,105.12820512820514,2.3076923076923075
1065,S Walaza,3,1065,2,3,0,0,1,5,0,0,0,2,3.0,60.0,0.8
1066,S Kakai,3,1066,1,2,0,0,1,3,0,0,0,2,2.0,66.66666666666666,0.6666666666666666
1067,M Kagoya,2,1067,1,2,0,0,0,1,0,0,0,2,0.0,200.0,2.0
1068,O Prendergast,2,1068,7,78,10,0,6,74,0,0,0,38,13.0,105.40540540540539,3.5945945945945947
1069,EAJ Richardson,2,1069,13,214,26,2,10,206,1,0,1,63,21.4,103.88349514563106,3.9757281553398056
1070,FEM Van Arkel,3,1070,1,3,0,0,1,12,0,0,0,3,3.0,25.0,0.25
1071,AH Thomson,3,1071,5,13,0,0,5,31,0,0,1,5,2.6,41.935483870967744,0.8064516129032258
1072,AS van Beuge,3,1072,3,10,0,0,2,20,0,0,0,4,5.0,50.0,0.6
1073,EN Lynch,0,1073,3,15,1,0,1,21,0,0,0,8,15.0,71.42857142857143,1.1428571428571428
1074,N Chantam,0,1074,17,143,18,1,16,219,0,0,0,24,8.9375,65.29680365296804,1.8630136986301369
1075,N Chaiwai,0,1075,19,261,17,0,13,440,0,0,1,34,20.076923076923077,59.31818181818181,1.4681818181818183
1076,N Koncharoenkai,0,1076,12,194,19,0,10,284,1,0,0,57,19.4,68.30985915492957,2.408450704225352
1077,C Sutthiruang,0,1077,17,169,18,0,16,211,0,0,3,35,10.5625,80.09478672985783,2.8199052132701423
1078,N Boochatham,0,1078,21,261,21,2,14,535,0,0,2,50,18.642857142857142,48.78504672897196,1.9626168224299065
1079,U Raymond-Hoey,3,1079,6,29,0,0,6,61,0,0,1,17,4.833333333333333,47.540983606557376,1.6721311475409837
1080,LK Bennett,0,1080,3,8,1,0,1,13,0,0,1,6,8.0,61.53846153846154,1.3846153846153846
1081,EL Watson,0,1081,5,40,3,0,3,53,0,0,1,17,13.333333333333334,75.47169811320755,1.6037735849056605
1082,S MacMahon,0,1082,6,14,1,0,4,20,0,0,4,11,3.5,70.0,3.3
1083,S Tippoch,0,1083,15,240,16,0,12,438,0,0,1,50,20.0,54.794520547945204,1.7123287671232876
1084,R Padunglerd,3,1084,10,57,3,1,7,126,0,0,1,15,8.142857142857142,45.23809523809524,1.1904761904761905
1085,O Kamchomphu,0,1085,6,21,2,0,3,29,0,0,2,13,7.0,72.41379310344827,2.689655172413793
1086,L Klokgieters,3,1086,7,15,1,0,5,29,0,0,1,8,3.0,51.724137931034484,1.9310344827586208
1087,S Siegers,0,1087,4,13,2,0,3,14,0,0,1,8,4.333333333333333,92.85714285714286,2.2857142857142856
1088,H Little,3,1088,1,2,0,0,1,3,0,0,0,2,2.0,66.66666666666666,0.6666666666666666
1089,W Liengprasert,0,1089,7,39,2,0,4,61,0,0,2,22,9.75,63.934426229508205,2.5245901639344264
1090,S Laomi,3,1090,8,44,1,0,6,115,0,0,1,11,7.333333333333333,38.26086956521739,0.7652173913043478
1091,M Zwilling,3,1091,1,0,0,0,1,4,0,0,1,0,0.0,0.0,0.0
1092,SJ Myburgh,2,1092,52,1265,145,39,47,1162,8,0,6,88,26.914893617021278,108.86402753872633,3.938037865748709
1093,AJ Staal,2,1093,5,77,5,5,4,56,0,0,1,28,19.25,137.5,2.5
1094,Sikander Zulfiqar,0,1094,3,43,3,0,3,51,0,0,0,20,14.333333333333334,84.31372549019608,1.1764705882352942
1095,Ashfaq Ahmed,2,1095,4,107,14,3,4,82,1,0,0,75,26.75,130.4878048780488,3.658536585365854
1096,Zawar Farid,2,1096,3,61,4,3,3,46,1,0,0,55,20.333333333333332,132.6086956521739,3.5869565217391304
1097,Ghulam Shabber,2,1097,15,249,23,3,12,277,2,0,0,70,20.75,89.89169675090253,3.7906137184115525
1098,Muhammad Usman,2,1098,33,749,68,16,28,730,2,0,2,89,26.75,102.60273972602741,4.023287671232877
1099,DDP D'Silva,1,1099,6,91,5,0,2,109,0,0,1,29,45.5,83.4862385321101,1.5963302752293578
1100,TS Braat,0,1100,1,5,1,0,1,3,0,0,0,5,5.0,166.66666666666669,1.6666666666666667
1101,BD Glover,3,1101,3,2,0,0,1,8,0,0,1,1,2.0,25.0,0.375
1102,PRP Boissevain,3,1102,1,0,0,0,1,1,0,0,1,0,0.0,0.0,0.0
1103,VJ Kingma,3,1103,4,7,0,0,1,27,0,0,1,5,7.0,25.925925925925924,0.7407407407407407
1104,Rohan Mustafa,2,1104,57,1106,115,26,53,1082,4,1,5,109,20.867924528301888,102.2181146025878,5.742144177449168
1105,Rameez Shahzad,0,1105,23,527,43,13,19,546,1,0,3,54,27.736842105263158,96.52014652014653,2.2747252747252746
1106,Mohammad Boota,0,1106,6,37,2,1,4,43,0,0,1,16,9.25,86.04651162790698,2.2325581395348837
1107,Waheed Ahmed,0,1107,9,66,6,2,5,74,0,0,1,19,13.2,89.1891891891892,2.310810810810811
1108,JA Raval,1,1108,9,530,66,0,8,1210,5,1,1,116,66.25,43.80165289256198,0.8628099173553719
1109,BJ Watling,1,1109,81,3496,392,9,63,7385,26,11,3,153,55.492063492063494,47.33920108327691,1.67813134732566
1110,WER Somerville,1,1110,2,52,3,0,1,150,0,0,0,49,52.0,34.66666666666667,0.6533333333333333
1111,AY Patel,3,1111,1,14,1,0,1,23,0,0,0,14,14.0,60.86956521739131,0.6086956521739131
1112,L Embuldeniya,3,1112,2,10,2,0,2,27,0,0,0,5,5.0,37.03703703703704,0.37037037037037035
1113,CBRLS Kumara,3,1113,11,33,5,0,5,88,0,0,4,13,6.6,37.5,1.625
1114,TP Ura,0,1114,43,991,106,27,37,1024,3,0,1,71,26.783783783783782,96.77734375,2.9814453125
1115,G Toka,3,1115,6,103,7,0,6,192,0,0,0,29,17.166666666666668,53.645833333333336,0.90625
1116,A Vala,1,1116,47,1471,121,24,42,1859,7,3,1,150,35.023809523809526,79.12856374394835,3.792361484669177
1117,L Siaka,0,1117,40,706,63,16,40,805,2,0,5,70,17.65,87.70186335403727,3.4782608695652173
1118,CJA Amini,0,1118,34,491,35,5,26,580,1,0,4,53,18.884615384615383,84.6551724137931,3.106896551724138
1119,S Bau,1,1119,31,784,56,19,26,1005,2,0,2,76,30.153846153846153,78.00995024875623,2.344278606965174
1120,K Doriga,0,1120,15,180,11,3,12,240,0,0,0,43,15.0,75.0,2.6875
1121,CA Soper,0,1121,17,246,13,1,11,469,0,0,0,49,22.363636363636363,52.45202558635395,1.7761194029850746
1122,N Vanua,2,1122,33,363,17,20,23,359,1,0,7,54,15.782608695652174,101.11420612813372,4.963788300835654
1123,D Ravu,1,1123,5,47,2,2,1,62,0,0,2,38,47.0,75.80645161290323,3.064516129032258
1124,Khawar Ali,0,1124,45,844,89,16,43,1162,2,0,2,79,19.627906976744185,72.63339070567987,3.059380378657487
1125,Jatinder Singh,1,1125,50,1368,118,21,42,1530,8,0,3,90,32.57142857142857,89.41176470588236,2.9411764705882355
1126,Aqib Ilyas,1,1126,22,585,61,7,17,581,4,0,1,63,34.411764705882355,100.68846815834766,2.3855421686746987
1127,Zeeshan Maqsood,2,1127,57,1145,140,23,51,1211,5,0,7,77,22.45098039215686,94.54995871180843,3.6242774566473988
1128,Mohammad Nadeem,0,1128,20,130,6,1,13,231,0,0,2,29,10.0,56.27705627705628,2.5108225108225106
1129,Suraj Kumar,0,1129,12,187,18,3,10,231,0,0,0,42,18.7,80.95238095238095,2.1818181818181817
1130,Sandeep Goud,2,1130,9,140,5,7,7,151,1,0,2,67,20.0,92.71523178807946,3.993377483443709
1131,Fayyaz Butt,0,1131,6,62,3,2,3,66,0,0,1,32,20.666666666666668,93.93939393939394,2.909090909090909
1132,HG Munsey,2,1132,35,879,101,38,30,665,5,1,4,127,29.3,132.18045112781957,6.684210526315789
1133,TB Sole,2,1133,11,91,11,1,7,60,0,0,0,33,13.0,151.66666666666666,6.05
1134,A Neill,3,1134,1,0,0,0,0,4,0,0,1,0,0.0,0.0,0.0
1135,N Pokana,0,1135,8,53,3,1,2,80,0,0,0,11,26.5,66.25,1.1
1136,AV Lalcheta,0,1136,30,397,34,7,24,543,1,0,3,62,16.541666666666668,73.11233885819522,3.425414364640884
1137,Aamir Kaleem,2,1137,41,666,49,22,33,700,2,0,6,78,20.181818181818183,95.14285714285714,4.5685714285714285
1138,Khurram Nawaz,0,1138,12,154,5,5,7,171,0,0,0,26,22.0,90.05847953216374,1.8245614035087718
1139,Bilal Khan,0,1139,8,17,1,0,1,32,0,0,1,6,17.0,53.125,1.5
1140,O Bascome,0,1140,10,139,11,8,10,129,0,0,1,37,13.9,107.75193798449611,2.868217054263566
1141,KS Leverock,2,1141,25,505,43,25,21,492,1,1,3,137,24.047619047619047,102.64227642276423,6.961382113821138
1142,TS Fray,0,1142,15,92,11,0,14,139,0,0,4,29,6.571428571428571,66.18705035971223,3.129496402877698
1143,DMW Rawlins,0,1143,19,385,34,20,19,411,1,0,1,63,20.263157894736842,93.67396593673966,2.9124087591240877
1144,AC Douglas,2,1144,19,220,13,16,17,225,0,0,2,47,12.941176470588236,97.77777777777777,3.968888888888889
1145,OGL Bascome,0,1145,11,117,14,3,11,131,0,0,0,22,10.636363636363637,89.31297709923665,1.8473282442748091
1146,MO Jones,0,1146,26,252,16,13,21,270,0,0,1,27,12.0,93.33333333333333,2.6
1147,DAP Darrell,0,1147,9,75,1,5,7,83,0,0,1,30,10.714285714285714,90.36144578313254,3.253012048192771
1148,JE Pitcher,0,1148,1,5,0,0,0,4,0,0,0,5,0.0,125.0,1.25
1149,XM Marshall,2,1149,27,494,57,7,26,740,2,1,6,124,19.0,66.75675675675676,4.524324324324325
1150,JS Malhotra,0,1150,8,97,11,2,7,106,0,0,1,38,13.857142857142858,91.50943396226415,2.8679245283018866
1151,Steven Ryan Taylor,2,1151,32,1021,101,45,30,930,5,2,4,162,34.03333333333333,109.78494623655915,5.574193548387097
1152,MD Patel,1,1152,10,238,17,4,8,324,1,0,0,66,29.75,73.4567901234568,2.037037037037037
1153,Aaron Jones,0,1153,9,168,7,4,8,242,1,0,0,77,21.0,69.42148760330579,2.8636363636363638
1154,HR Walsh,0,1154,8,133,10,3,8,139,0,0,0,28,16.625,95.68345323741008,1.6115107913669064
1155,TP Allen,2,1155,18,423,24,27,13,321,3,0,1,67,32.53846153846154,131.77570093457945,3.7570093457943927
1156,NK Patel,0,1156,15,186,20,8,14,212,0,0,3,42,13.285714285714286,87.73584905660378,2.9716981132075473
1157,RA Thomas,0,1157,12,204,19,8,11,234,2,0,2,62,18.545454545454547,87.17948717948718,3.1794871794871793
1158,NS Dhaliwal,1,1158,22,795,57,36,18,747,6,1,0,140,44.166666666666664,106.42570281124497,4.123159303882195
1159,NR Kumar,2,1159,41,1057,86,23,37,1097,6,2,3,129,28.56756756756757,96.35369188696444,4.821330902461258
1160,Ravinderpal Singh,2,1160,15,500,31,37,10,313,3,1,1,101,50.0,159.7444089456869,4.840255591054313
1161,Rizwan Cheema,2,1161,44,632,60,33,42,517,2,0,9,76,15.047619047619047,122.24371373307544,6.468085106382978
1162,Hamza Tariq,2,1162,31,390,34,18,27,396,2,0,9,71,14.444444444444445,98.48484848484848,5.558080808080808
1163,D Heyliger,2,1163,9,64,2,4,4,45,0,0,2,23,16.0,142.22222222222223,4.6
1164,N Dutta,3,1164,10,93,6,1,8,195,0,0,1,33,11.625,47.69230769230769,1.6923076923076923
1165,C Hauptfleisch,0,1165,5,69,4,2,5,86,0,0,1,42,13.8,80.23255813953489,2.441860465116279
1166,D Cato,3,1166,5,57,4,0,5,130,0,0,0,20,11.4,43.84615384615385,0.7692307692307693
1167,YSD Seneveratne,0,1167,7,105,11,3,7,190,1,0,1,57,15.0,55.26315789473685,2.1
1168,OR Willis,3,1168,7,35,2,1,7,73,0,0,1,15,5.0,47.94520547945205,1.4383561643835616
1169,GM Strydom,0,1169,11,164,12,7,10,217,0,0,2,49,16.4,75.57603686635944,2.4838709677419355
1170,P Manning,0,1170,6,56,4,0,5,88,0,0,1,28,11.2,63.63636363636363,1.9090909090909092
1171,AF Ifill,0,1171,6,37,2,1,5,55,0,0,0,9,7.4,67.27272727272727,0.9818181818181818
1172,T Taylor,0,1172,10,106,7,6,8,133,0,0,1,33,13.25,79.69924812030075,2.481203007518797
1173,C Wright,2,1173,10,130,12,6,6,109,1,0,1,79,21.666666666666668,119.26605504587155,7.247706422018348
1174,K Birkenstock,0,1174,6,167,17,4,6,224,2,0,1,61,27.833333333333332,74.55357142857143,1.6339285714285714
1175,T Perera,0,1175,10,144,16,2,10,228,0,0,1,32,14.4,63.1578947368421,1.4035087719298245
1176,K Mothlhanka,0,1176,7,115,11,2,7,123,1,0,0,59,16.428571428571427,93.4959349593496,3.3577235772357725
1177,H Pragji,0,1177,5,58,3,0,3,75,0,0,0,30,19.333333333333332,77.33333333333333,2.0
1178,Ameer Saiyed,0,1178,5,71,4,0,4,132,0,0,0,32,17.75,53.78787878787878,1.2121212121212122
1179,R Nehonde,0,1179,12,130,6,1,10,241,0,0,1,34,13.0,53.941908713692946,1.6929460580912863
1180,V Mbazo,0,1180,3,51,3,0,2,68,0,0,0,27,25.5,75.0,1.1911764705882353
1181,M Mooketsi,3,1181,5,8,0,0,5,21,0,0,1,3,1.6,38.095238095238095,0.7142857142857143
1182,P Silas,0,1182,3,39,1,1,3,43,0,0,0,20,13.0,90.69767441860465,1.3953488372093024
1183,D Kegasitswe,3,1183,2,5,0,0,0,11,0,0,0,4,0.0,45.45454545454545,0.7272727272727273
1184,Sidra Ameen,0,1184,18,252,27,0,16,393,2,0,3,53,15.75,64.12213740458014,2.427480916030534
1185,Nida Dar,2,1185,67,886,75,13,55,1016,3,0,4,87,16.10909090909091,87.20472440944881,5.737204724409449
1186,Aliya Riaz,0,1186,24,360,36,7,19,491,1,0,1,71,18.94736842105263,73.31975560081466,3.470468431771894
1187,T Brits,2,1187,7,137,16,1,6,140,1,0,1,70,22.833333333333332,97.85714285714285,3.5
1188,S Jafta,3,1188,7,43,4,0,5,98,0,0,2,14,8.6,43.87755102040816,1.0
1189,Umaima Sohail,0,1189,7,97,10,1,7,109,0,0,0,33,13.857142857142858,88.9908256880734,2.1192660550458715
1190,BFW de Leede,0,1190,4,52,1,2,4,65,0,0,0,30,13.0,80.0,1.8461538461538463
1191,CA Pujara,1,1191,79,4498,547,15,69,8889,32,17,4,247,65.18840579710145,50.60186747665654,2.1951850601867475
1192,SSJ Brooks,1,1192,2,63,10,0,2,158,0,0,0,50,31.5,39.87341772151899,0.6329113924050633
1193,MDK Perera,0,1193,29,611,75,11,28,1170,4,1,3,103,21.821428571428573,52.22222222222223,2.552991452991453
1194,H Hiri,0,1194,8,88,6,0,5,135,0,0,1,31,17.6,65.18518518518519,1.837037037037037
1195,DL Brangman,2,1195,4,25,2,1,2,25,0,0,2,23,12.5,100.0,3.68
1196,GH O'Brien,0,1196,5,27,1,1,3,34,0,0,0,7,9.0,79.41176470588235,1.0294117647058822
1197,A Gavde,3,1197,1,1,0,0,1,5,0,0,0,1,1.0,20.0,0.2
1198,LHB Harrington-Myers,0,1198,4,32,1,1,3,36,0,0,1,17,10.666666666666666,88.88888888888889,1.8888888888888888
1199,A Morris,3,1199,9,21,2,0,7,49,0,0,3,13,3.0,42.857142857142854,2.3877551020408165
1200,TK Patel,0,1200,16,154,13,0,7,270,0,0,1,50,22.0,57.03703703703704,2.962962962962963
1201,KR Ebanks,0,1201,8,60,5,0,8,108,0,0,2,37,7.5,55.55555555555556,2.740740740740741
1202,RJ Trott,0,1202,14,131,11,0,9,281,0,0,4,48,14.555555555555555,46.619217081850536,2.391459074733096
1203,Saad Bin Zafar,2,1203,11,119,11,5,7,105,0,0,1,34,17.0,113.33333333333333,3.5619047619047617
1204,S Sohal,2,1204,22,391,35,19,20,323,2,0,3,62,19.55,121.05263157894737,4.222910216718266
1205,SN Netravalkar,0,1205,5,39,3,1,2,65,0,0,0,12,19.5,60.0,0.9230769230769231
1206,K Gore,0,1206,5,60,6,1,4,101,0,0,0,31,15.0,59.4059405940594,1.5346534653465347
1207,S Smith,3,1207,3,19,1,0,0,31,0,0,0,7,0.0,61.29032258064516,0.6774193548387096
1208,Z McLaughlin,3,1208,2,6,0,0,0,16,0,0,0,4,0.0,37.5,0.5
1209,Abraash Khan,0,1209,6,141,17,2,6,158,0,0,0,42,23.5,89.24050632911393,1.5949367088607596
1210,H Thaker,0,1210,5,75,6,1,4,106,0,0,1,27,18.75,70.75471698113208,1.2735849056603774
1211,MR Montfort,3,1211,1,1,0,0,0,2,0,0,0,1,0.0,50.0,0.5
1212,Junaid Siddiqui,0,1212,17,147,4,6,12,190,0,0,1,28,12.25,77.36842105263158,2.5052631578947366
1213,Jasdeep Singh,0,1213,7,94,3,5,4,134,0,0,1,37,23.5,70.1492537313433,1.9328358208955223
1214,DC Stovell,0,1214,26,289,34,0,24,358,0,0,2,38,12.041666666666666,80.72625698324022,2.7597765363128492
1215,JP Kotze,2,1215,39,718,58,28,33,739,1,1,2,101,21.757575757575758,97.15832205683355,5.330175913396482
1216,HN Ya France,0,1216,10,154,17,3,9,308,1,0,2,86,17.11111111111111,50.0,2.792207792207792
1217,T Lungameni,3,1217,2,4,0,0,0,21,0,0,0,2,0.0,19.047619047619047,0.19047619047619047
1218,D Maisuria,3,1218,7,16,0,0,3,51,0,0,3,6,5.333333333333333,31.372549019607842,0.8235294117647058
1219,B Khumalo,3,1219,1,1,0,0,1,2,0,0,0,1,1.0,50.0,0.5
1220,L Louwrens,0,1220,2,27,1,1,1,42,0,0,0,17,27.0,64.28571428571429,0.8095238095238095
1221,Abid Ali,1,1221,2,79,11,0,2,76,1,0,0,74,39.5,103.94736842105263,1.9473684210526316
1222,Mohammad Hasnain,2,1222,3,33,5,1,2,27,0,0,0,28,16.5,122.22222222222223,3.111111111111111
1223,Ahmed Wardak,3,1223,1,1,0,0,1,2,0,0,0,1,1.0,50.0,0.5
1224,Z Arinaitwe,0,1224,5,22,3,1,5,27,0,0,2,15,4.4,81.48148148148148,2.7777777777777777
1225,HB Kayondo,0,1225,11,199,10,6,11,306,0,0,1,36,18.09090909090909,65.0326797385621,1.2941176470588236
1226,RG Mukasa,0,1226,22,417,37,10,20,524,3,0,2,86,20.85,79.58015267175573,3.6106870229007635
1227,A Otwani,0,1227,5,89,13,1,5,78,0,0,1,44,17.8,114.1025641025641,2.8205128205128207
1228,DM Nakrani,0,1228,4,52,2,3,3,45,0,0,0,19,17.333333333333332,115.55555555555554,1.6888888888888889
1229,Riazat Ali Shah,1,1229,4,140,8,8,2,107,1,0,0,53,70.0,130.8411214953271,1.9813084112149533
1230,D Muhumuza,0,1230,13,144,7,4,10,215,0,0,1,28,14.4,66.97674418604652,1.6930232558139535
1231,E Isaneez,3,1231,2,8,0,0,0,13,0,0,0,7,0.0,61.53846153846154,1.0769230769230769
1232,K Modise,0,1232,10,150,15,8,10,189,0,0,1,36,15.0,79.36507936507937,1.9047619047619047
1233,I Master,3,1233,6,51,2,0,5,118,0,0,1,19,10.2,43.22033898305085,0.9661016949152542
1234,V Balakrishnan,1,1234,3,63,6,1,2,81,0,0,0,29,31.5,77.77777777777779,1.0740740740740742
1235,JWN Moses,3,1235,9,62,2,3,8,125,0,0,1,16,7.75,49.6,1.152
1236,A Rangaswamy,3,1236,8,44,2,1,8,92,0,0,1,16,5.5,47.82608695652174,1.391304347826087
1237,N Master,0,1237,7,78,5,1,5,97,0,0,0,21,15.6,80.41237113402062,1.5154639175257731
1238,T Tshose,0,1238,8,32,2,1,5,59,0,0,4,22,6.4,54.23728813559322,2.983050847457627
1239,JK Vifah,0,1239,7,72,5,1,6,122,0,0,1,23,12.0,59.01639344262295,1.319672131147541
1240,KS Bagabena,0,1240,5,54,3,0,2,67,0,0,1,23,27.0,80.59701492537313,1.7164179104477613
1241,Ovais Yousof,0,1241,2,38,3,0,2,57,0,0,0,33,19.0,66.66666666666666,1.1578947368421053
1242,AJ Ayannaike,3,1242,8,91,6,2,8,174,0,0,1,33,11.375,52.29885057471264,1.5172413793103448
1243,I Danladi,0,1243,2,37,4,1,2,37,0,0,1,37,18.5,100.0,2.0
1244,AA Onikoyi,0,1244,10,159,11,7,9,166,0,0,1,49,17.666666666666668,95.78313253012048,2.9518072289156625
1245,IO Okpe,0,1245,14,99,4,0,10,161,0,0,1,15,9.9,61.49068322981367,1.3043478260869565
1246,AM Oyede,0,1246,9,57,2,0,9,113,0,0,2,39,6.333333333333333,50.442477876106196,3.106194690265487
1247,VD Adewoye,0,1247,5,42,3,2,4,36,0,0,2,23,10.5,116.66666666666667,3.1944444444444446
1248,CN Onwuzulike,0,1248,15,184,13,6,14,210,0,0,3,46,13.142857142857142,87.61904761904762,3.2857142857142856
1249,SA Okpe,0,1249,6,25,1,0,5,42,0,0,0,12,5.0,59.523809523809526,1.7142857142857142
1250,G Bakiweyem,0,1250,3,31,1,0,2,35,0,0,0,15,15.5,88.57142857142857,1.2857142857142858
1251,Z Abbasi,0,1251,3,31,5,0,3,44,0,0,0,15,10.333333333333334,70.45454545454545,1.0227272727272727
1252,T Phaswana,3,1252,1,0,0,0,1,2,0,0,1,0,0.0,0.0,0.0
