,Bowler,clus,_c0,Matches,Runs,4,6,Wickets,Overs,balls,ave,econ,sr
341,LMM Tahuhu,0,341,44,1194,161,7,52,265.2,1592.0,22.96153846153846,4.502262443438914,30.615384615384617
342,HR Huddleston,2,342,17,458,61,1,29,104.0,624.0,15.793103448275861,4.403846153846154,21.517241379310345
343,SFM Devine,2,343,35,657,74,2,40,140.2,842.0,16.425,4.686162624821684,21.05
344,AM Peterson,2,344,10,171,18,0,12,39.3,237.0,14.25,4.351145038167939,19.75
345,AC Kerr,0,345,23,636,56,3,29,129.5,779.0,21.93103448275862,4.911196911196911,26.862068965517242
346,AE Satterthwaite,0,346,31,720,62,5,28,148.1,889.0,25.714285714285715,4.861580013504389,31.75
347,EM Bermingham,0,347,29,723,67,12,32,158.0,948.0,22.59375,4.575949367088608,29.625
348,SW Bates,0,348,48,1121,111,11,34,217.4,1306.0,32.970588235294116,5.15639374425023,38.411764705882355
349,KDU Prabodhani,0,349,52,1081,122,9,36,240.0,1440.0,30.02777777777778,4.504166666666666,40.0
350,HHC Gunaratne,2,350,15,317,36,3,18,64.1,385.0,17.61111111111111,4.945397815912637,21.38888888888889
351,HASD Siriwardene,0,351,56,1382,108,11,54,291.3,1749.0,25.59259259259259,4.744249914177823,32.388888888888886
352,SS Weerakkody,0,352,49,836,94,4,34,196.4,1180.0,24.58823529411765,4.256619144602851,34.705882352941174
353,I Ranaweera,0,353,58,1434,136,8,69,329.3,1977.0,20.782608695652176,4.354691770422107,28.652173913043477
354,AC Jayangani,0,354,28,644,73,5,19,116.5,701.0,33.89473684210526,5.527896995708154,36.89473684210526
355,PRCS Kumarihami,0,355,19,324,22,7,9,67.3,405.0,36.0,4.814264487369985,45.0
356,LE Kaushalya,0,356,49,696,84,7,29,149.1,895.0,24.0,4.668008048289739,30.862068965517242
357,JL Carter,0,357,12,153,11,3,4,23.0,138.0,38.25,6.6521739130434785,34.5
358,A Shrubsole,0,358,73,2008,255,17,104,545.1,3271.0,19.307692307692307,3.683727756374977,31.451923076923077
359,KH Brunt,0,359,74,1904,236,5,98,540.2,3242.0,19.428571428571427,3.5246205109218804,33.08163265306123
