,Bowler,clus,_c0,Matches,Runs,4,6,Wickets,Overs,balls,ave,econ,sr
555,I Udana,0,555,29,915,78,19,36,148.5,893.0,25.416666666666668,6.161616161616162,24.805555555555557
556,BMAJ Mendis,0,556,63,1400,68,31,45,274.4,1648.0,31.11111111111111,5.102040816326531,36.62222222222222
557,Hamid Hassan,2,557,38,1093,131,7,59,212.1,1273.0,18.52542372881356,5.1532296086751535,21.576271186440678
558,Mohammad Saifuddin,0,558,16,652,61,14,26,101.3,609.0,25.076923076923077,6.4363277393879565,23.423076923076923
559,Aftab Alam,2,559,20,680,74,12,36,122.0,732.0,18.88888888888889,5.573770491803279,20.333333333333332
560,Rahmat Shah,0,560,16,329,32,7,12,64.1,385.0,27.416666666666668,5.132605304212169,32.083333333333336
561,KAJ Roach,0,561,131,7104,864,63,271,1946.2,11678.0,26.214022140221402,3.650190114068441,43.09225092250922
562,SACA King,0,562,24,351,38,3,12,72.5,437.0,29.25,4.841379310344828,36.416666666666664
563,CA Henry,0,563,10,193,27,2,6,26.0,156.0,32.166666666666664,7.423076923076923,26.0
564,KL Cross,0,564,22,689,94,3,22,173.4,1042.0,31.318181818181817,3.9734717416378316,47.36363636363637
565,S Ecclestone,0,565,13,481,54,6,22,121.1,727.0,21.863636363636363,3.9719240297274983,33.04545454545455
566,C Raack,0,566,10,154,11,3,7,28.0,168.0,22.0,5.5,24.0
567,KJ Garth,0,567,42,961,105,10,48,199.3,1197.0,20.020833333333332,4.821876567987958,24.9375
568,AL Kerrison,2,568,2,39,1,3,0,2.3,15.0,0.0,16.956521739130437,0.0
569,K Ramharack,3,569,6,139,13,0,2,20.3,123.0,69.5,6.847290640394088,61.5
570,Shaheen Shah Afridi,2,570,16,680,63,25,32,100.1,601.0,21.25,6.793206793206793,18.78125
571,TAM Siriwardana,0,571,31,774,58,25,28,148.3,891.0,27.642857142857142,5.219150370869858,31.821428571428573
572,BE Hendricks,2,572,14,401,46,12,19,49.1,295.0,21.105263157894736,8.167006109979633,15.526315789473685
573,BF Smith,2,573,1,19,0,0,1,1.3,9.0,19.0,14.615384615384615,9.0
574,DNA Ankrah,2,574,9,116,9,2,13,40.4,244.0,8.923076923076923,2.871287128712871,18.76923076923077
575,DK Anefie,2,575,4,71,8,0,0,10.3,63.0,0.0,6.893203883495145,0.0
576,V Ateak,2,576,10,219,14,7,17,73.2,440.0,12.882352941176471,2.9918032786885247,25.88235294117647
577,IKO Aboagye,2,577,11,233,16,7,19,64.5,389.0,12.263157894736842,3.612403100775194,20.473684210526315
578,M Aboagye,0,578,3,43,2,2,2,12.0,72.0,21.5,3.5833333333333335,36.0
579,KS Bagabena,0,579,7,125,8,5,5,25.5,155.0,25.0,4.901960784313726,31.0
580,Izatullah Dawlatzai,2,580,12,316,32,9,16,49.1,295.0,19.75,6.435845213849287,18.4375
581,CAJ Meschede,2,581,15,281,25,7,16,42.1,253.0,17.5625,6.67458432304038,15.8125
582,Ahmed Wardak,2,582,6,101,5,2,12,19.3,117.0,8.416666666666666,5.233160621761658,9.75
583,Muslim Yar,2,583,4,81,7,3,5,8.3,51.0,16.2,9.759036144578312,10.2
584,Asad Mohammad,2,584,6,96,5,4,4,12.0,72.0,24.0,8.0,18.0
585,V Ganesan,2,585,1,10,0,0,2,0.2,2.0,5.0,50.0,1.0
586,ACF Stokes,2,586,4,91,8,3,4,11.1,67.0,22.75,8.198198198198199,16.75
587,W Peatfield,2,587,7,209,21,4,11,33.1,199.0,19.0,6.314199395770393,18.09090909090909
588,TCW Veillard,2,588,3,77,4,4,6,8.5,53.0,12.833333333333334,9.058823529411764,8.833333333333334
589,LC Le Tissier,2,589,7,172,10,3,15,33.1,199.0,11.466666666666667,5.196374622356495,13.266666666666667
590,DR Hooper,2,590,13,272,19,6,16,66.0,396.0,17.0,4.121212121212121,24.75
591,P Bhart,2,591,4,60,0,3,4,9.3,57.0,15.0,6.451612903225806,14.25
592,Junaid Sheikh,0,592,4,90,14,0,2,10.1,61.0,45.0,8.910891089108912,30.5
593,Hayatullah Niazi,0,593,3,55,7,1,2,5.4,34.0,27.5,10.185185185185185,17.0
594,S Waqas Ahmed,2,594,6,113,9,2,7,16.2,98.0,16.142857142857142,6.9753086419753085,14.0
595,Raza Iqbal,2,595,5,130,5,3,9,27.3,165.0,14.444444444444445,4.761904761904762,18.333333333333332
596,Tafseer Ali,2,596,4,53,4,1,6,13.5,83.0,8.833333333333334,3.925925925925926,13.833333333333334
597,Delawar Khan,2,597,9,231,22,3,16,50.4,304.0,14.4375,4.583333333333333,19.0
598,ND Laegsgaard,2,598,10,209,15,4,15,58.0,348.0,13.933333333333334,3.603448275862069,23.2
599,J Jojo,0,599,10,324,32,5,13,61.3,369.0,24.923076923076923,5.285481239804242,28.384615384615383
600,OD Hald,2,600,10,256,29,3,15,51.4,310.0,17.066666666666666,4.980544747081712,20.666666666666668
601,HAM Shah,0,601,24,548,38,19,19,101.0,606.0,28.842105263157894,5.425742574257426,31.894736842105264
602,SA Ahmad,0,602,9,219,10,9,8,39.5,239.0,27.375,5.544303797468355,29.875
603,Anique Uddin,0,603,6,128,15,1,3,29.0,174.0,42.666666666666664,4.413793103448276,58.0
604,Bashir Shah,2,604,24,575,52,15,43,133.3,801.0,13.372093023255815,4.3135783945986494,18.627906976744185
605,WJR Robertson,2,605,1,6,1,0,1,0.3,3.0,6.0,20.0,3.0
606,AW Hawkins-Kay,0,606,23,584,63,12,24,124.0,744.0,24.333333333333332,4.709677419354839,31.0
607,DG Blampied,2,607,10,237,18,5,14,33.2,200.0,16.928571428571427,7.138554216867469,14.285714285714286
608,CW Perchard,2,608,25,569,33,11,34,127.5,767.0,16.735294117647058,4.462745098039216,22.558823529411764
609,B Ward,2,609,10,188,10,5,10,29.1,175.0,18.8,6.460481099656357,17.5
610,EJB Miles,2,610,8,122,11,0,10,18.4,112.0,12.2,6.630434782608696,11.2
611,Abdullah Sheikh,1,611,1,13,2,0,0,0.1,1.0,0.0,130.0,0.0
612,Walid Ghauri,0,612,2,29,1,2,1,3.2,20.0,29.0,9.0625,20.0
613,J Sumerauer,2,613,4,76,8,4,4,7.5,47.0,19.0,10.133333333333333,11.75
614,BDH Stevens,0,614,23,587,45,13,29,125.2,752.0,20.24137931034483,4.68849840255591,25.93103448275862
615,GRD Munasinghe,2,615,22,649,70,11,36,127.1,763.0,18.02777777777778,5.106215578284815,21.194444444444443
616,NA Maiolo,2,616,4,87,8,1,4,13.1,79.0,21.75,6.641221374045802,19.75
617,Rakibul Hasan,2,617,4,94,3,5,5,10.4,64.0,18.8,9.038461538461538,12.8
618,Baljit Singh,2,618,4,93,3,4,6,13.0,78.0,15.5,7.153846153846154,13.0
619,Charanjeet Singh,0,619,7,177,8,6,8,37.0,222.0,22.125,4.783783783783784,27.75
620,MJ Ross,0,620,4,61,3,4,2,7.2,44.0,30.5,8.472222222222221,22.0
621,S Arachchige,2,621,2,26,1,1,2,2.2,14.0,13.0,11.818181818181817,7.0
622,MD Bimenyimana,2,622,5,78,7,0,10,16.5,101.0,7.8,4.7272727272727275,10.1
623,M Vumiliya,2,623,6,62,5,0,4,15.0,90.0,15.5,4.133333333333334,22.5
624,J Nyirankundineza,2,624,6,116,15,0,8,20.0,120.0,14.5,5.8,15.0
625,V Iriho,0,625,5,76,5,2,3,15.2,92.0,25.333333333333332,5.0,30.666666666666668
626,Y Sangare,2,626,1,7,1,0,0,0.5,5.0,0.0,14.0,0.0
627,JL Martel,2,627,3,57,5,0,7,8.0,48.0,8.142857142857142,7.125,6.857142857142857
628,Sahir Naqash,0,628,3,31,2,1,1,3.0,18.0,31.0,10.333333333333334,18.0
629,Nazakat Ali,2,629,2,15,2,0,1,2.2,14.0,15.0,6.8181818181818175,14.0
630,E Ul Haq,2,630,1,4,1,0,0,0.1,1.0,0.0,40.0,0.0
631,Abdul-Shakoor Rahimzei,2,631,3,44,1,2,5,5.2,32.0,8.8,8.461538461538462,6.4
632,Jaspreet Singh,1,632,1,26,1,1,1,0.3,3.0,26.0,86.66666666666667,3.0
633,Omar Hayat,3,633,4,77,5,2,1,16.2,98.0,77.0,4.753086419753086,98.0
634,FA Allen,0,634,8,247,21,6,5,31.4,190.0,49.4,7.866242038216561,38.0
635,LCN Smith,2,635,1,21,3,0,3,0.5,5.0,7.0,42.0,1.6666666666666667
636,CAK Rajitha,0,636,11,411,45,15,11,47.2,284.0,37.36363636363637,8.707627118644067,25.818181818181817
637,JDF Vandersay,0,637,14,473,38,15,12,67.0,402.0,39.416666666666664,7.059701492537314,33.5
638,FDM Karunaratne,2,638,3,23,1,1,0,3.5,23.0,0.0,6.571428571428571,0.0
639,AD Mathews,0,639,296,7396,758,87,228,1737.3,10425.0,32.43859649122807,4.257180682668508,45.723684210526315
640,Sayed Shirzad,2,640,3,111,9,4,6,9.5,59.0,18.5,11.68421052631579,9.833333333333334
641,DM Kimmince,2,641,25,514,59,2,32,91.3,549.0,16.0625,5.629791894852136,17.15625
642,SC Getkate,0,642,10,285,20,10,11,39.0,234.0,25.90909090909091,7.3076923076923075,21.272727272727273
643,KM Jarvis,0,643,50,2615,304,45,79,529.4,3178.0,33.10126582278481,4.939554212315829,40.22784810126582
644,H Masakadza,0,644,81,1636,138,29,38,384.3,2307.0,43.05263157894737,4.257090814467864,60.71052631578947
645,M Faheem,2,645,4,95,12,2,6,12.0,72.0,15.833333333333334,7.916666666666667,12.0
646,K Senamontree,2,646,2,28,6,0,0,1.2,8.0,0.0,23.333333333333336,0.0
647,Z Hoque,2,647,3,51,4,0,3,8.4,52.0,17.0,6.071428571428571,17.333333333333332
648,Vichanath Singh,0,648,4,88,3,5,3,13.0,78.0,29.333333333333332,6.769230769230769,26.0
649,DF Jacobs,2,649,2,26,2,1,4,1.4,10.0,6.5,18.571428571428573,2.5
650,N Pathan,0,650,4,58,12,0,2,5.3,33.0,29.0,10.943396226415095,16.5
651,C Pengkumta,2,651,4,52,7,0,0,6.0,36.0,0.0,8.666666666666666,0.0
652,S Saeed,2,652,6,96,12,0,6,26.0,156.0,16.0,3.6923076923076925,26.0
653,Ibrahim Hassan,0,653,7,149,14,5,6,31.5,191.0,24.833333333333332,4.73015873015873,31.833333333333332
654,Umar Adam,2,654,4,82,5,5,8,8.5,53.0,10.25,9.647058823529411,6.625
655,Ameel Mauroof,2,655,2,28,3,1,0,2.2,14.0,0.0,12.727272727272727,0.0
656,WJ Malinda,2,656,1,26,1,2,1,0.5,5.0,26.0,52.0,5.0
657,MNR Cooray,2,657,3,72,3,2,3,8.5,53.0,24.0,8.470588235294118,17.666666666666668
658,Mohamed Mahfooz,2,658,9,235,14,13,11,37.5,227.0,21.363636363636363,6.266666666666667,20.636363636363637
659,EC Bargna,0,659,2,68,9,1,2,5.3,33.0,34.0,12.830188679245284,16.5
660,ST Frohnmayer,0,660,2,58,3,2,1,5.2,32.0,58.0,11.153846153846153,32.0
661,PA Wadenpohl,2,661,1,18,2,0,0,0.5,5.0,0.0,36.0,0.0
662,AM Healey,2,662,2,41,2,0,2,5.1,31.0,20.5,8.03921568627451,15.5
663,MS Beresford,1,663,1,24,3,1,0,0.4,4.0,0.0,60.0,0.0
664,CM Gough,2,664,2,69,3,3,6,5.0,30.0,11.5,13.8,5.0
665,KE Bryce,2,665,14,194,13,0,15,62.3,375.0,12.933333333333334,3.113964686998395,25.0
666,PA Chatterji,0,666,12,167,18,2,8,34.4,208.0,20.875,4.854651162790698,26.0
667,AH Maqsood,2,667,11,162,8,2,11,32.2,194.0,14.727272727272727,5.0310559006211175,17.636363636363637
668,RV Scholes,0,668,18,323,26,1,14,91.1,547.0,23.071428571428573,3.5455543358946215,39.07142857142857
669,K Fraser,2,669,11,160,13,0,16,33.2,200.0,10.0,4.8192771084337345,12.5
670,K McGill,2,670,16,210,18,1,23,44.5,269.0,9.130434782608695,4.719101123595506,11.695652173913043
671,TE Kane,0,671,5,199,24,3,4,17.3,105.0,49.75,11.502890173410405,26.25
672,Rahat Ali,0,672,46,3166,407,24,96,846.5,5081.0,32.979166666666664,3.74010632014176,52.927083333333336
673,Faheem Ashraf,0,673,17,583,51,26,20,71.2,428.0,29.15,8.188202247191011,21.4
674,Haris Sohail,0,674,16,473,39,7,11,82.2,494.0,43.0,5.754257907542579,44.90909090909091
675,G Wareham,0,675,24,546,43,13,25,93.0,558.0,21.84,5.870967741935484,22.32
676,KL Gordon,2,676,9,324,35,3,20,69.0,414.0,16.2,4.695652173913044,20.7
677,GA Elwiss,0,677,18,359,42,3,19,96.3,579.0,18.894736842105264,3.727933541017653,30.473684210526315
678,S Molineux,0,678,12,342,33,7,13,43.2,260.0,26.307692307692307,7.916666666666666,20.0
679,TJ Vlaeminck,0,679,17,348,46,2,13,74.4,448.0,26.76923076923077,4.677419354838709,34.46153846153846
680,Yamin Ahmadzai,0,680,9,386,54,3,19,78.5,473.0,20.31578947368421,4.917197452229299,24.894736842105264
681,Wafadar Momand,2,681,1,54,8,0,0,2.5,17.0,0.0,21.6,0.0
682,Waqar Salamkheil,2,682,1,101,15,0,4,5.1,31.0,25.25,19.80392156862745,7.75
683,AR McBrine,0,683,39,1359,100,38,43,276.1,1657.0,31.6046511627907,4.922129663165519,38.53488372093023
684,J Cameron-Dow,2,684,1,114,16,0,4,4.3,27.0,28.5,26.511627906976745,6.75
685,A Balbirnie,0,685,3,50,7,2,1,5.1,31.0,50.0,9.803921568627452,31.0
686,GJ Delany,2,686,14,327,25,12,17,47.5,287.0,19.235294117647058,6.88421052631579,16.88235294117647
687,L Delany,0,687,28,491,44,4,21,78.1,469.0,23.38095238095238,6.286811779769526,22.333333333333332
688,Inam-ul-Haq,0,688,3,82,10,2,2,6.4,40.0,41.0,12.8125,20.0
689,V Baskaran,0,689,17,400,35,13,13,78.5,473.0,30.76923076923077,5.095541401273885,36.38461538461539
690,Janak Prakash,2,690,13,306,31,5,18,46.0,276.0,17.0,6.6521739130434785,15.333333333333334
691,Amjad Mahboob,2,691,37,1024,102,24,64,218.5,1313.0,16.0,4.68649885583524,20.515625
692,S Vijayakumar,2,692,19,511,42,21,30,91.0,546.0,17.033333333333335,5.615384615384615,18.2
693,A Krishna,0,693,9,276,17,14,11,57.1,343.0,25.09090909090909,4.833625218914186,31.181818181818183
694,CR Suryawanshi,0,694,11,222,31,1,12,49.3,297.0,18.5,4.503042596348885,24.75
695,R Rohan,0,695,7,134,13,2,4,27.4,166.0,33.5,4.89051094890511,41.5
696,Muhammad Kashif,2,696,3,68,7,3,4,5.4,34.0,17.0,12.592592592592592,8.5
697,Ilyas Ahmed,0,697,3,84,15,1,2,6.1,37.0,42.0,13.77049180327869,18.5
698,Mohammad Ahsan,2,698,3,93,11,4,4,6.4,40.0,23.25,14.53125,10.0
699,Nawaf Ahmed,1,699,1,16,2,0,0,0.2,2.0,0.0,80.0,0.0
700,MNM Aslam,2,700,3,46,2,2,2,6.2,38.0,23.0,7.419354838709677,19.0
701,Shiraz Khan,2,701,3,76,5,4,4,8.4,52.0,19.0,9.047619047619047,13.0
702,Syed Aziz,0,702,9,222,26,4,7,31.5,191.0,31.714285714285715,7.0476190476190474,27.285714285714285
703,Pavandeep Singh,0,703,28,702,63,22,36,165.2,992.0,19.5,4.249394673123487,27.555555555555557
704,Fitri Sham,2,704,13,298,20,15,13,38.3,231.0,22.923076923076923,7.780678851174935,17.76923076923077
705,M Syahadat Ramli,2,705,9,155,7,8,12,21.1,127.0,12.916666666666666,7.345971563981042,10.583333333333334
706,S Muniandy,0,706,11,236,18,9,9,29.4,178.0,26.22222222222222,8.027210884353742,19.77777777777778
707,Anwar Rahman,0,707,12,239,14,7,13,56.3,339.0,18.384615384615383,4.245115452930729,26.076923076923077
708,Sompal Kami,2,708,45,1105,137,13,62,220.3,1323.0,17.822580645161292,5.015887426236949,21.338709677419356
709,Karan KC,2,709,25,601,59,21,39,101.1,607.0,15.41025641025641,5.944609297725025,15.564102564102564
710,LN Rajbanshi,0,710,6,127,7,6,3,16.2,98.0,42.333333333333336,7.839506172839506,32.666666666666664
711,B Regmi,2,711,60,1436,86,55,111,371.3,2229.0,12.936936936936936,3.8674925935900886,20.08108108108108
712,P Khadka,0,712,59,1179,98,36,50,281.5,1691.0,23.58,4.188277087033748,33.82
713,NCK Liyanage,0,713,4,74,14,0,3,11.0,66.0,24.666666666666668,6.7272727272727275,22.0
714,Virandeep Singh,0,714,15,297,18,15,8,43.1,259.0,37.125,6.890951276102088,32.375
715,P Sarraf,2,715,2,25,2,1,0,1.2,8.0,0.0,20.833333333333336,0.0
716,A Bohara,2,716,11,248,15,7,13,35.1,211.0,19.076923076923077,7.065527065527065,16.23076923076923
717,OP Stone,2,717,4,118,17,3,6,11.0,66.0,19.666666666666668,10.727272727272727,11.0
718,MJ Leach,0,718,5,335,37,3,12,102.2,614.0,27.916666666666668,3.2778864970645794,51.166666666666664
719,Jandu Hamoud,2,719,2,40,5,1,2,3.1,19.0,20.0,12.903225806451612,9.5
720,Meet Bhavsar,1,720,1,11,2,0,0,0.1,1.0,0.0,110.0,0.0
721,Gayan Munaweera,2,721,6,289,36,5,16,50.2,302.0,18.0625,5.756972111553784,18.875
722,Musawar Shah,3,722,5,116,13,1,2,32.5,197.0,58.0,3.5692307692307694,98.5
723,S Vesawkar,0,723,4,88,4,6,2,12.3,75.0,44.0,7.154471544715447,37.5
724,Shafiul Islam,0,724,83,3506,419,48,109,719.4,4318.0,32.1651376146789,4.873505699193773,39.61467889908257
725,CBRLS Kumara,0,725,18,1288,145,16,33,268.0,1608.0,39.03030303030303,4.8059701492537314,48.72727272727273
726,MK Villiers,2,726,1,20,1,1,2,0.4,4.0,10.0,50.0,2.0
727,CA Liyanage,1,727,1,14,1,1,0,0.1,1.0,0.0,140.0,0.0
728,S Hongsi,2,728,2,29,2,2,1,2.3,15.0,29.0,12.608695652173914,15.0
729,Md Shafiqul Haque,1,729,1,25,0,2,2,0.3,3.0,12.5,83.33333333333334,1.5
730,Taijul Islam,0,730,23,2237,177,46,61,679.4,4078.0,36.67213114754098,3.2926111274654106,66.85245901639344
731,Nazril Rahman,2,731,13,273,25,9,14,49.1,295.0,19.5,5.560081466395112,21.071428571428573
732,Anowarul Islam,2,732,2,22,2,1,0,1.5,11.0,0.0,14.666666666666666,0.0
733,NA Janes,1,733,1,12,1,1,0,0.1,1.0,0.0,120.0,0.0
734,M McColl,2,734,5,61,6,0,4,9.3,57.0,15.25,6.559139784946236,14.25
735,S Haggo,2,735,8,85,6,0,6,19.1,115.0,14.166666666666666,4.450261780104712,19.166666666666668
736,IJR Zwilling,2,736,11,209,18,2,11,36.5,221.0,19.0,5.726027397260274,20.09090909090909
737,HWA Landheer,2,737,2,24,1,0,2,5.3,33.0,12.0,4.528301886792453,16.5
738,C de Lange,0,738,10,182,20,0,7,30.5,185.0,26.0,5.967213114754099,26.428571428571427
739,HDJ Siegers,2,739,11,190,19,3,16,39.3,237.0,11.875,4.8346055979643765,14.8125
740,S Siegers,0,740,9,220,26,1,6,29.4,178.0,36.666666666666664,7.482993197278912,29.666666666666668
741,SL Kalis,2,741,7,66,3,0,6,17.5,107.0,11.0,3.7714285714285714,17.833333333333332
742,SR McAnanama-Brereton,2,742,1,32,2,2,0,1.0,6.0,0.0,32.0,0.0
743,JE Ronalds,2,743,1,16,1,0,0,0.5,5.0,0.0,32.0,0.0
744,AS van Beuge,2,744,7,121,13,1,9,22.2,134.0,13.444444444444445,5.45045045045045,14.88888888888889
745,GSNFG Jayasuriya,3,745,18,412,24,14,6,56.1,337.0,68.66666666666667,7.3440285204991085,56.166666666666664
746,MD Shanaka,2,746,17,305,34,2,14,50.1,301.0,21.785714285714285,6.087824351297405,21.5
747,MS Wade,2,747,2,6,0,0,0,1.2,8.0,0.0,5.0,0.0
748,K Pierre,2,748,2,30,0,2,0,3.5,23.0,0.0,8.571428571428571,0.0
749,FJ Klaassen,0,749,14,372,31,13,15,56.5,341.0,24.8,6.584070796460177,22.733333333333334
750,BD Glover,2,750,17,368,38,8,27,66.3,399.0,13.62962962962963,5.55052790346908,14.777777777777779
751,PA van Meekeren,0,751,45,1206,126,27,57,249.4,1498.0,21.157894736842106,4.8356054530874095,26.280701754385966
752,PM Seelaar,0,752,69,1526,98,47,63,274.3,1647.0,24.22222222222222,5.563251913962814,26.142857142857142
753,W Barresi,2,753,2,24,3,1,0,1.1,7.0,0.0,21.818181818181817,0.0
754,DI Dusabemungu,1,754,1,7,1,0,0,0.1,1.0,0.0,70.0,0.0
755,H Ishimwe,2,755,5,79,5,1,6,12.5,77.0,13.166666666666666,6.32,12.833333333333334
756,JM Apio,2,756,3,23,1,0,7,7.2,44.0,3.2857142857142856,3.194444444444444,6.285714285714286
757,M Anyigo,2,757,1,4,0,0,3,1.0,6.0,1.3333333333333333,4.0,2.0
758,S Kakai,2,758,1,9,1,0,2,0.4,4.0,4.5,22.5,2.0
759,S Nampiina,2,759,2,27,2,0,4,4.4,28.0,6.75,6.136363636363636,7.0
760,G Obukor,2,760,1,1,0,0,0,0.2,2.0,0.0,5.0,0.0
761,S Walaza,0,761,4,51,5,0,2,8.2,50.0,25.5,6.219512195121951,25.0
762,C Anayo,2,762,1,7,0,0,0,0.3,3.0,0.0,23.333333333333336,0.0
763,E Anyipo,2,763,1,11,1,0,1,1.0,6.0,11.0,11.0,6.0
764,I Nakisuuyi,2,764,4,73,4,1,7,13.1,79.0,10.428571428571429,5.572519083969466,11.285714285714286
765,R Musamali,0,765,3,55,8,0,1,9.4,58.0,55.0,5.8510638297872335,58.0
766,P Alako,2,766,1,7,1,0,2,0.2,2.0,3.5,35.0,1.0
767,PZ Mamunya,2,767,3,34,4,0,6,9.0,54.0,5.666666666666667,3.7777777777777777,9.0
768,NN Saidi,0,768,3,51,5,0,2,8.3,51.0,25.5,6.144578313253011,25.5
769,TS Omary,0,769,3,48,4,0,1,8.5,53.0,48.0,5.647058823529412,53.0
770,FO Kibasu,2,770,3,65,6,1,4,7.0,42.0,16.25,9.285714285714286,10.5
771,NO Tindo,2,771,3,67,5,1,3,7.0,42.0,22.333333333333332,9.571428571428571,14.0
772,W Kevin,2,772,1,8,0,0,1,0.2,2.0,8.0,40.0,2.0
773,EN Lynch,0,773,6,119,14,0,2,15.4,94.0,59.5,7.7272727272727275,47.0
774,F Overdijk,3,774,3,84,10,2,1,6.2,38.0,84.0,13.548387096774194,38.0
775,O Prendergast,2,775,7,69,9,1,6,14.3,87.0,11.5,4.825174825174825,14.5
776,H Little,2,776,3,28,3,0,0,5.3,33.0,0.0,5.283018867924529,0.0
777,EAJ Richardson,2,777,18,352,32,3,23,64.1,385.0,15.304347826086957,5.491419656786272,16.73913043478261
778,C Sutthiruang,2,778,20,348,42,0,22,80.1,481.0,15.818181818181818,4.344569288389513,21.863636363636363
779,N Boochatham,2,779,20,319,20,3,25,89.0,534.0,12.76,3.5842696629213484,21.36
780,S Laomi,2,780,18,284,15,1,19,72.5,437.0,14.947368421052632,3.9172413793103447,23.0
781,R Padunglerd,2,781,14,190,20,1,24,42.5,257.0,7.916666666666667,4.470588235294118,10.708333333333334
782,S Tippoch,2,782,18,269,18,0,21,76.3,459.0,12.80952380952381,3.525557011795544,21.857142857142858
783,RK Willis,1,783,1,14,2,0,0,0.2,2.0,0.0,70.0,0.0
784,A Aitken,0,784,11,135,19,0,6,31.2,188.0,22.5,4.326923076923077,31.333333333333332
785,HRA Rainey,2,785,5,54,5,0,3,10.1,61.0,18.0,5.346534653465347,20.333333333333332
786,RS Glen,0,786,3,52,7,0,1,3.4,22.0,52.0,15.294117647058824,22.0
787,LK Bennett,2,787,8,151,12,0,11,27.0,162.0,13.727272727272727,5.592592592592593,14.727272727272727
788,O Kamchomphu,2,788,6,88,10,1,5,12.3,75.0,17.6,7.154471544715447,15.0
789,L Klokgieters,0,789,10,156,14,0,5,31.5,191.0,31.2,4.9523809523809526,38.2
790,A Hogg,1,790,1,13,1,0,0,0.2,2.0,0.0,65.0,0.0
791,M Zwilling,2,791,1,7,0,0,3,0.3,3.0,2.3333333333333335,23.333333333333336,1.0
792,Sultan Ahmed (2),0,792,9,159,14,2,5,25.0,150.0,31.8,6.36,30.0
793,Qadeer Ahmed,0,793,10,258,38,5,8,29.2,176.0,32.25,8.835616438356164,22.0
794,Ashfaq Ahmed,2,794,1,18,1,0,1,0.5,5.0,18.0,36.0,5.0
795,Ahmed Raza,0,795,49,1347,81,31,44,310.0,1860.0,30.613636363636363,4.34516129032258,42.27272727272727
796,Waheed Ahmed,0,796,10,196,5,8,7,24.0,144.0,28.0,8.166666666666666,20.571428571428573
797,VJ Kingma,0,797,12,445,59,4,17,113.4,682.0,26.176470588235293,3.9241622574955906,40.11764705882353
798,HC Overdijk,2,798,1,10,1,0,1,0.3,3.0,10.0,33.333333333333336,3.0
799,TS Braat,0,799,2,42,6,0,1,3.0,18.0,42.0,14.0,18.0
800,PRP Boissevain,2,800,2,46,4,1,2,4.5,29.0,23.0,10.222222222222221,14.5
801,Sikander Zulfiqar,0,801,3,88,6,3,3,14.1,85.0,29.333333333333332,6.24113475177305,28.333333333333332
802,MP O'Dowd,3,802,9,207,19,8,3,30.0,180.0,69.0,6.9,60.0
803,Mohammad Naveed,0,803,47,1476,174,18,63,274.1,1645.0,23.428571428571427,5.3848960233491425,26.11111111111111
804,Rohan Mustafa,2,804,57,1280,90,17,66,226.3,1359.0,19.393939393939394,5.656208572691118,20.59090909090909
805,Zahoor Khan,2,805,17,433,31,9,32,68.1,409.0,13.53125,6.358296622613803,12.78125
806,Saqib Zulfiqar,0,806,2,52,5,2,2,7.2,44.0,26.0,7.222222222222222,22.0
807,L Embuldeniya,0,807,2,336,28,7,6,46.5,281.0,56.0,7.225806451612903,46.833333333333336
808,AY Patel,0,808,2,242,25,2,9,43.3,261.0,26.88888888888889,5.58891454965358,29.0
809,Bilal Khan,2,809,32,836,96,12,56,144.5,869.0,14.928571428571429,5.7854671280276815,15.517857142857142
810,Kaleemullah,3,810,9,210,18,4,3,30.5,185.0,70.0,6.885245901639344,61.666666666666664
811,Fayyaz Butt,0,811,15,386,38,7,12,61.0,366.0,32.166666666666664,6.327868852459017,30.5
812,Jay Odedra,2,812,3,90,3,4,6,13.0,78.0,15.0,6.923076923076923,13.0
813,Zeeshan Maqsood,0,813,51,1195,69,46,58,244.4,1468.0,20.603448275862068,4.889525368248773,25.310344827586206
814,Khawar Ali,2,814,37,907,49,24,57,164.5,989.0,15.912280701754385,5.513677811550152,17.350877192982455
815,Aqib Ilyas,2,815,9,135,7,3,8,30.0,180.0,16.875,4.5,22.5
816,N Pokana,2,816,20,507,37,11,33,110.1,661.0,15.363636363636363,4.604904632152588,20.03030303030303
817,N Vanua,2,817,45,1365,139,25,75,291.5,1751.0,18.2,4.682675814751287,23.346666666666668
818,D Ravu,2,818,11,193,18,5,13,34.1,205.0,14.846153846153847,5.6598240469208205,15.76923076923077
819,CJA Amini,0,819,34,799,55,22,29,146.5,881.0,27.551724137931036,5.453924914675768,30.379310344827587
820,A Vala,2,820,37,783,46,21,43,168.2,1010.0,18.209302325581394,4.655172413793104,23.488372093023255
821,CA Soper,0,821,24,778,66,12,36,197.2,1184.0,21.61111111111111,3.9452332657200815,32.888888888888886
822,Mohammad Nadeem,2,822,27,550,58,8,29,99.2,596.0,18.96551724137931,5.544354838709677,20.551724137931036
823,Aamir Kaleem,2,823,43,937,67,21,59,198.5,1193.0,15.88135593220339,4.720403022670025,20.220338983050848
824,A Neill,2,824,4,117,11,4,6,14.4,88.0,19.5,8.125,14.666666666666666
825,TB Sole,0,825,10,304,13,7,8,52.4,316.0,38.0,5.801526717557252,39.5
826,GT Main,0,826,3,58,10,0,2,5.5,35.0,29.0,10.545454545454545,17.5
