Bowler,Matches,Overs,Runs,4,6,Wickets,Economy,Average,Strike Rate
U Aryaman Sunil,7,40.1,198,20,3,15,4.95,13.2,16.066666666666666
EB Ringera,2,6.2,34,3,0,4,5.666666666666667,8.5,9.5
JI Rodrigues,1,0.1,1,0,0,1,1.0,1.0,1.0
JS Henriksen,2,5.4,51,7,2,1,10.2,51.0,34.0
Muhammad Hafiz,2,4.2,33,5,1,1,8.25,33.0,26.0
Suharril Fetri,27,140.0,578,39,22,30,4.128571428571429,19.266666666666666,28.0
Norwira Zazmie,3,15.4,131,6,11,6,8.733333333333333,21.833333333333332,15.666666666666666
Khurram Shahzad,5,17.3,74,8,0,2,4.352941176470588,37.0,52.5
Saqlain Arshad,3,7.3,41,3,1,0,5.857142857142857,41.0,45.0
C Pervez,14,89.1,382,35,7,17,4.292134831460674,22.470588235294116,31.470588235294116
PK Matautaava,12,78.4,290,27,6,27,3.717948717948718,10.74074074074074,17.48148148148148
AL Stephen,10,60.3,208,24,3,15,3.466666666666667,13.866666666666667,24.2
N Nipiko,15,77.2,386,41,10,19,5.012987012987013,20.31578947368421,24.42105263157895
JW Chilia,16,115.0,345,26,10,11,3.0,31.363636363636363,62.72727272727273
W Nalisa,7,31.0,166,15,5,6,5.354838709677419,27.666666666666668,31.0
SH Obed,13,75.2,307,19,9,22,4.093333333333334,13.954545454545455,20.545454545454547
D Mogan,3,19.0,97,5,6,4,5.105263157894737,24.25,28.5
A Mansale,15,75.0,346,31,9,15,4.613333333333333,23.066666666666666,30.0
Zaheer Ibrahim,2,7.3,60,4,2,2,8.571428571428571,30.0,22.5
Kamran Khan (2),2,1.1,15,1,0,2,15.0,7.5,3.5
ZK Shem,2,5.1,57,7,1,1,11.4,57.0,31.0
Mohammad Rizlan,1,1.4,11,0,0,0,11.0,11.0,10.0
Owais Ahmed,1,1.2,31,2,0,1,31.0,31.0,8.0
Lucky Ali,1,0.2,8,2,0,0,4.0,8.0,2.0
Abraash Khan,1,2.1,53,3,3,5,26.5,10.6,2.6
Raja Adeel,4,44.0,137,14,1,7,3.1136363636363638,19.571428571428573,37.714285714285715
R Panchal,5,9.3,44,4,1,1,4.888888888888889,44.0,57.0
Farzan Afzal,4,12.1,67,5,0,5,5.583333333333333,13.4,14.6
Kuldeep Lal,2,3.2,28,1,2,3,9.333333333333334,9.333333333333334,6.666666666666667
TC Vine,3,3.3,35,0,2,2,11.666666666666666,17.5,10.5
Atif Mehmood,5,11.0,46,4,0,5,4.181818181818182,9.2,13.2
Yasir Ali,4,7.5,41,1,1,5,5.857142857142857,8.2,9.4
Fakhrul Mohon,3,7.5,60,2,2,2,8.571428571428571,30.0,23.5
Ali Naqi,3,5.1,40,1,2,0,8.0,40.0,31.0
Tariq Aziz,3,9.4,53,2,1,6,5.888888888888889,8.833333333333334,9.666666666666666
P Buccimazza,3,8.0,59,6,1,3,7.375,19.666666666666668,16.0
Zohaib Sarwar,3,4.2,42,3,1,0,10.5,42.0,26.0
Najjam Shahzad,3,9.4,36,1,1,3,4.0,12.0,19.333333333333332
Imran Khan (4),1,0.3,12,0,0,0,4.0,12.0,3.0
MO Bacarese,4,9.0,57,6,0,2,6.333333333333333,28.5,27.0
MG Hunter,3,5.1,41,3,2,3,8.2,13.666666666666666,10.333333333333334
E Packard,3,4.5,52,1,4,1,13.0,52.0,29.0
BA Pai,3,8.1,62,1,5,3,7.75,20.666666666666668,16.333333333333332
RJ Hatchman,1,0.4,33,0,3,0,8.25,33.0,4.0
J Perman,2,5.2,36,1,2,4,7.2,9.0,8.0
K Nestor,1,0.3,18,1,0,0,6.0,18.0,3.0
Tauqeer Hussain,2,3.3,12,1,0,5,4.0,2.4,4.2
JA Fitzgerald,1,0.5,19,1,1,0,3.8,19.0,5.0
N Advani,1,0.3,12,0,0,1,4.0,12.0,3.0
MD Garratt,1,0.3,11,0,0,1,3.6666666666666665,11.0,3.0
A Orfila,2,1.2,16,0,1,1,16.0,16.0,8.0
PD Hennessy,1,0.2,12,1,1,2,6.0,6.0,1.0
NH Naureen,1,0.3,32,1,4,3,10.666666666666666,10.666666666666666,1.0
Zulqarnain Haider (2),1,0.5,5,0,0,0,1.0,5.0,5.0
WP Masakadza,18,98.3,543,43,18,22,5.540816326530612,24.681818181818183,26.863636363636363
Kushal Malla,2,1.3,38,2,4,1,38.0,38.0,9.0
DS Airee,1,0.3,22,1,2,0,7.333333333333333,22.0,3.0
D Jakiel,2,5.2,39,1,2,4,7.8,9.75,8.0
WT Mashinge,2,3.2,52,7,2,1,17.333333333333332,52.0,20.0
T Munyonga,1,0.1,3,0,0,0,3.0,3.0,1.0
Muhammad Wafiq,9,44.0,250,27,4,8,5.681818181818182,31.25,33.0
W Viraliliu,4,6.2,67,9,1,1,11.166666666666666,67.0,38.0
Syazrul Idrus,2,4.3,64,8,2,3,16.0,21.333333333333332,9.0
Mohamed Arief,2,1.1,19,2,1,0,19.0,19.0,7.0
J Rasu,2,3.1,19,2,0,0,6.333333333333333,19.0,19.0
Panna Ghosh,26,105.0,441,47,2,27,4.2,16.333333333333332,23.333333333333332
Lata Mondal,12,24.0,121,13,1,3,5.041666666666667,40.333333333333336,48.0
Rumana Ahmed,36,171.1,760,67,8,51,4.444444444444445,14.901960784313726,20.137254901960784
Anam Amin,25,108.4,501,43,4,33,4.638888888888889,15.181818181818182,19.757575757575758
Sadia Iqbal,1,0.5,15,2,0,1,3.0,15.0,5.0
Asif Ali,1,0.5,9,1,0,0,1.8,9.0,5.0
RA Reifer,2,5.2,50,3,1,2,10.0,25.0,16.0
Sharafuddin Ashraf,11,70.4,409,32,12,10,5.8428571428571425,40.9,42.4
H Patel,22,88.2,451,32,10,19,5.125,23.736842105263158,27.894736842105264
R Gunasekera,1,0.2,1,0,0,0,0.5,1.0,2.0
Tanwir Afzal,46,241.2,1250,146,31,53,5.186721991701245,23.58490566037736,27.32075471698113
Ali Khan,3,17.4,98,17,0,4,5.764705882352941,24.5,26.5
Aiman Anwer,7,32.4,171,29,0,5,5.34375,34.2,39.2
F Guirrugo,3,10.1,57,1,1,3,5.7,19.0,20.333333333333332
P Cuinica,3,9.4,73,4,0,1,8.11111111111111,73.0,58.0
I Chuma,3,6.4,50,2,0,3,8.333333333333334,16.666666666666668,13.333333333333334
O Matsolo,2,2.1,33,3,1,1,16.5,33.0,13.0
C Magaia,2,3.1,13,0,0,1,4.333333333333333,13.0,19.0
C Murrombe,3,9.1,79,3,0,3,8.777777777777779,26.333333333333332,18.333333333333332
A Mazvishaya,8,23.0,80,8,0,9,3.4782608695652173,8.88888888888889,15.333333333333334
L Phiri,2,1.3,5,1,0,0,5.0,5.0,9.0
V Ooko,1,0.5,8,1,0,0,1.6,8.0,5.0
M Ngoche,1,0.3,18,2,0,0,6.0,18.0,3.0
M Mwangi,2,4.5,37,2,1,1,9.25,37.0,29.0
E Waithaka,2,5.3,31,1,0,1,6.2,31.0,33.0
M Ochieng,2,5.0,17,0,0,4,3.4,4.25,7.5
E Wachira,2,4.5,35,3,0,4,8.75,8.75,7.25
D Njoroge,2,1.3,26,3,1,0,26.0,26.0,9.0
Aminata Kamara,2,4.1,36,4,0,0,9.0,36.0,25.0
J Kowa,2,3.2,29,2,0,1,9.666666666666666,29.0,20.0
AM Kamara,2,5.1,42,2,0,1,8.4,42.0,31.0
M Sheriff,2,2.1,20,1,0,0,10.0,20.0,13.0
F Bangur,1,0.5,26,2,0,0,5.2,26.0,5.0
Adama Kamara,2,3.3,35,2,0,0,11.666666666666666,35.0,21.0
C Aweko,3,8.5,35,1,0,10,4.375,3.5,5.3
F Najjumba,3,8.3,49,1,0,2,6.125,24.5,25.5
A Obulor,1,0.5,20,2,0,1,4.0,20.0,5.0
A Salomao,2,3.1,38,3,0,2,12.666666666666666,19.0,9.5
JA Diergaardt,2,4.2,18,2,0,1,4.5,18.0,26.0
ZK Finkili,1,0.1,10,1,0,0,10.0,10.0,1.0
M Pascal,2,2.4,27,1,1,2,13.5,13.5,8.0
G Ishimwe,3,8.0,67,7,1,0,8.375,67.0,48.0
E Moiane,1,0.2,5,0,0,0,2.5,5.0,2.0
M Ndhambi,1,0.4,20,1,0,1,5.0,20.0,4.0
J Mbabazi,1,0.5,17,1,0,0,3.4,17.0,5.0
D Busingye,1,0.5,17,1,0,1,3.4,17.0,5.0
V Mansale,1,0.4,9,1,0,1,2.25,9.0,4.0
R Andrew,3,4.4,46,4,0,3,11.5,15.333333333333334,9.333333333333334
S Solman,3,7.3,38,2,1,1,5.428571428571429,38.0,45.0
L Tastuki,3,9.2,45,4,0,2,5.0,22.5,28.0
A Chilia,3,8.2,46,3,1,1,5.75,46.0,50.0
N Navaika,3,9.4,59,5,0,6,6.555555555555555,9.833333333333334,9.666666666666666
NMP Suwandewi,3,8.5,32,1,0,2,4.0,16.0,26.5
N Sitompul,3,9.4,34,2,0,6,3.7777777777777777,5.666666666666667,9.666666666666666
T Hanum,2,2.5,29,3,0,4,14.5,7.25,4.25
NKF Rada Rani,3,8.1,48,3,0,1,6.0,48.0,49.0
K Winda Prastini,2,5.2,43,3,0,3,8.6,14.333333333333334,10.666666666666666
E Eduard,2,4.3,30,4,0,3,7.5,10.0,9.0
M Vua,3,8.5,36,2,0,2,4.5,18.0,26.5
R Muriyalo,3,8.1,31,1,0,1,3.875,31.0,49.0
LS Mulivai,2,5.1,30,3,0,1,6.0,30.0,31.0
LO Telea,2,3.4,15,2,0,5,5.0,3.0,4.4
T Lafai,2,4.0,27,2,0,1,6.75,27.0,24.0
MI Tato,2,4.0,19,1,0,3,4.75,6.333333333333333,8.0
T Iosefo,2,3.5,22,1,0,3,7.333333333333333,7.333333333333333,7.666666666666667
M Tilau,2,4.1,44,5,0,4,11.0,11.0,6.25
L Samani,1,0.3,4,0,0,0,1.3333333333333333,4.0,3.0
L Vuadreu,1,0.5,16,1,0,4,3.2,4.0,1.25
A Tagilala,1,1.0,18,1,0,0,18.0,18.0,6.0
L Rika,1,0.3,25,3,0,0,8.333333333333334,25.0,3.0
M Mete,1,0.5,9,0,0,1,1.8,9.0,5.0
FLV Pula,1,0.3,5,0,0,0,1.6666666666666667,5.0,3.0
Mohammad Irfan,103,800.5,3767,442,49,134,4.70875,28.111940298507463,35.85820895522388
Al-Amin Hossain,46,340.2,1615,170,42,73,4.75,22.123287671232877,27.972602739726028
PR Brown,4,10.3,123,8,7,3,12.3,41.0,21.0
S Mahmood,5,15.1,155,14,8,9,10.333333333333334,17.22222222222222,10.11111111111111
L Gregory,13,42.5,337,37,7,11,8.023809523809524,30.636363636363637,23.363636363636363
DJ Mitchell,2,2.1,33,2,3,1,16.5,33.0,13.0
MW Parkinson,2,4.3,59,2,6,5,14.75,11.8,5.4
BM Tickner,2,5.0,73,7,3,2,14.6,36.5,15.0
R Shepherd,3,14.0,97,11,2,3,6.928571428571429,32.333333333333336,28.0
Javed Ahmadi,11,33.5,166,9,1,2,5.03030303030303,83.0,101.5
Zawar Farid,1,0.1,1,0,0,0,1.0,1.0,1.0
Mehran Khan,13,36.0,238,24,4,10,6.611111111111111,23.8,21.6
AA Alleyne,3,8.0,80,9,1,2,10.0,40.0,24.0
Mohammad Sami,47,303.0,1651,181,40,71,5.448844884488449,23.253521126760564,25.6056338028169
Saeed Ajmal,212,3181.2,10586,877,149,466,3.3278843131090854,22.716738197424892,40.96137339055794
Imran Khalid,3,3.4,52,5,3,1,17.333333333333332,52.0,22.0
Amad Butt,8,17.1,157,13,9,6,9.235294117647058,26.166666666666668,17.166666666666668
DJG Sammy,250,2041.0,8406,795,115,242,4.118569328760412,34.735537190082646,50.603305785123965
Sohail Tanvir,143,831.2,4404,456,88,182,5.299638989169675,24.197802197802197,27.406593406593405
Mohammad Irfan (4),17,49.5,466,45,24,21,9.510204081632653,22.19047619047619,14.238095238095237
Bilawal Bhatti,26,186.0,1049,135,15,21,5.639784946236559,49.95238095238095,53.142857142857146
GD Elliott,78,294.3,1539,116,40,63,5.23469387755102,24.428571428571427,28.047619047619047
Zulfiqar Babar,35,852.3,2745,235,50,81,3.221830985915493,33.888888888888886,63.148148148148145
Anwar Ali,55,259.5,1739,173,46,44,6.714285714285714,39.52272727272727,35.43181818181818
Hasan Khan,10,32.1,213,14,9,9,6.65625,23.666666666666668,21.444444444444443
Mohammad Asghar,12,30.2,285,21,16,11,9.5,25.90909090909091,16.545454545454547
Sohail Khan,40,486.0,2170,264,34,74,4.465020576131687,29.324324324324323,39.4054054054054
Abrar Ahmed,2,2.4,41,3,1,0,20.5,41.0,16.0
RS Bopara,142,538.3,2942,266,43,92,5.4684014869888475,31.97826086956522,35.119565217391305
Zohaib Khan,1,0.1,13,1,1,0,13.0,13.0,1.0
Umar Gul,205,2143.1,9165,1077,109,380,4.276714885674289,24.11842105263158,33.839473684210525
Usman Khan,10,29.2,245,22,7,9,8.448275862068966,27.22222222222222,19.555555555555557
Usama Mir,10,30.0,288,15,20,12,9.6,24.0,15.0
RR Rossouw,4,7.5,51,3,1,2,7.285714285714286,25.5,23.5
Kashif Bhatti,1,0.2,24,0,3,0,12.0,24.0,2.0
CS Delport,6,10.3,91,12,2,5,9.1,18.2,12.6
Imran Khan (1),5,15.4,170,7,10,5,11.333333333333334,34.0,18.8
Aamer Yamin,9,32.0,215,24,5,7,6.71875,30.714285714285715,27.428571428571427
Mir Hamza,4,12.0,141,15,6,4,11.75,35.25,18.0
Ghulam Mudassar,1,0.2,23,3,1,0,11.5,23.0,2.0
BB McCullum,7,29.4,99,6,2,1,3.413793103448276,99.0,178.0
Saad Nasim,4,7.2,66,9,1,0,9.428571428571429,66.0,44.0
RR Emrit,3,15.5,122,11,4,3,8.133333333333333,40.666666666666664,31.666666666666668
Hammad Azam,8,24.1,155,9,5,3,6.458333333333333,51.666666666666664,48.333333333333336
Ibtisam Sheikh,4,11.4,106,6,5,6,9.636363636363637,17.666666666666668,11.666666666666666
Hassan Khan,11,25.3,187,6,10,6,7.48,31.166666666666668,25.5
Raza Hasan,13,51.4,325,28,11,13,6.372549019607843,25.0,23.846153846153847
SR Patel,73,450.5,2295,152,64,67,5.1,34.25373134328358,40.37313432835821
Umaid Asif,12,44.2,313,25,13,16,7.113636363636363,19.5625,16.625
Agha Salman,2,1.1,13,2,0,0,13.0,13.0,7.0
Hussain Talat,6,13.5,120,10,6,4,9.23076923076923,30.0,20.75
Sameen Gul,8,25.2,200,10,14,6,8.0,33.333333333333336,25.333333333333332
Khalid Usman,1,0.4,26,1,2,1,6.5,26.0,4.0
Salman Irshad,3,3.5,57,7,2,1,19.0,57.0,23.0
Sarfraz Ahmed,1,0.4,6,0,1,0,1.5,6.0,4.0
D Wiese,44,176.5,1315,145,31,61,7.471590909090909,21.557377049180328,17.39344262295082
Saif Badar,1,0.3,14,0,1,1,4.666666666666667,14.0,3.0
Zafar Gohar,3,14.1,95,8,4,5,6.785714285714286,19.0,17.0
RA Whiteley,1,1.0,42,3,3,0,42.0,42.0,6.0
KJ Abbott,67,674.1,2735,335,41,108,4.05786350148368,25.324074074074073,37.4537037037037
Bilal Asif,4,22.3,114,6,4,5,5.181818181818182,22.8,27.0
Danish Aziz,1,0.1,16,0,2,0,16.0,16.0,1.0
Muhammad Musa,1,0.4,38,5,1,0,9.5,38.0,4.0
Ebadat Hossain,1,5.4,112,14,2,1,22.4,112.0,34.0
SL Bates,9,33.1,263,29,5,9,7.96969696969697,29.22222222222222,22.11111111111111
RM Farrell,53,245.5,1272,123,13,67,5.191836734693878,18.98507462686567,22.01492537313433
L Griffith,5,10.3,95,9,1,1,9.5,95.0,63.0
HJ Darlington,9,32.4,231,24,2,12,7.21875,19.25,16.333333333333332
H Silver-holmes,7,12.2,103,12,2,5,8.583333333333334,20.6,14.8
S Campbell,5,7.3,46,6,0,1,6.571428571428571,46.0,45.0
LG Smith,4,5.2,41,2,0,5,8.2,8.2,6.4
M Strano,12,41.3,279,18,4,22,6.804878048780488,12.681818181818182,11.318181818181818
M Brown,9,28.2,179,22,0,12,6.392857142857143,14.916666666666666,14.166666666666666
CJ Koski,1,0.2,20,3,0,0,10.0,20.0,2.0
A Sutherland,5,16.2,129,21,0,2,8.0625,64.5,49.0
EA Osborne,64,342.4,1618,127,17,82,4.730994152046784,19.73170731707317,25.073170731707318
NM Hancock,8,24.1,178,22,2,1,7.416666666666667,178.0,145.0
T Flintoff,7,15.5,125,17,0,2,8.333333333333334,62.5,47.5
CL Rafferty,2,1.5,39,2,2,1,39.0,39.0,11.0
ML Gibson,8,24.2,180,19,3,10,7.5,18.0,14.6
SJ Johnson,10,34.4,199,25,2,13,5.852941176470588,15.307692307692308,16.0
G Prestwidge,9,26.0,142,16,0,6,5.461538461538462,23.666666666666668,26.0
GM Harris,22,82.5,418,37,4,18,5.097560975609756,23.22222222222222,27.61111111111111
DN Wyatt,41,167.3,841,55,11,47,5.0359281437125745,17.893617021276597,21.382978723404257
P Cleary,5,14.1,117,15,1,4,8.357142857142858,29.25,21.25
EL King,2,2.1,22,3,0,0,11.0,22.0,13.0
JL Barsby,7,11.4,118,13,3,4,10.727272727272727,29.5,17.5
TM McGrath,7,21.1,162,14,2,7,7.714285714285714,23.142857142857142,18.142857142857142
A Price,5,6.4,59,4,1,0,9.833333333333334,59.0,40.0
HL Ferling,31,175.0,657,81,4,26,3.7542857142857144,25.26923076923077,40.38461538461539
M Penna,6,17.4,151,10,5,11,8.882352941176471,13.727272727272727,9.636363636363637
T Peschel,7,21.0,139,13,3,5,6.619047619047619,27.8,25.2
C Leeson,3,4.5,29,4,0,1,7.25,29.0,29.0
M Phillips,3,4.1,33,1,2,2,8.25,16.5,12.5
R Trenaman,1,0.2,23,4,0,0,11.5,23.0,2.0
SM Betts,2,2.5,28,4,0,1,14.0,28.0,17.0
CG Sippel,1,0.1,12,2,0,0,12.0,12.0,1.0
A King,2,4.4,65,7,2,1,16.25,65.0,28.0
OJ Hannon-Dalby,13,40.3,344,35,9,13,8.6,26.46153846153846,18.692307692307693
CJC Wright,1,0.5,31,3,1,2,6.2,15.5,2.5
RO Gordon,6,20.0,188,14,10,7,9.4,26.857142857142858,17.142857142857142
LJ Fletcher,5,15.5,150,16,4,3,10.0,50.0,31.666666666666668
BA Hutton,1,0.3,23,3,1,1,7.666666666666667,23.0,3.0
SJ Mullaney,12,33.5,278,21,8,13,8.424242424242424,21.384615384615383,15.615384615384615
SKW Wood,2,1.1,19,3,0,1,19.0,19.0,7.0
P Coughlin,11,36.4,313,30,12,19,8.694444444444445,16.473684210526315,11.578947368421053
U Arshad,14,47.3,458,49,15,13,9.74468085106383,35.23076923076923,21.923076923076923
RD Pringle,8,15.4,161,10,9,2,10.733333333333333,80.5,47.0
KK Jennings,16,53.4,381,37,6,10,7.188679245283019,38.1,32.2
SG Borthwick,19,75.0,536,31,20,25,7.1466666666666665,21.44,18.0
JD Shantry,10,32.0,283,31,9,4,8.84375,70.75,48.0
J Leach,12,42.1,388,34,14,20,9.238095238095237,19.4,12.65
BL D'Oliveira,11,30.2,243,16,10,6,8.1,40.5,30.333333333333332
EG Barnard,10,27.1,245,16,13,7,9.074074074074074,35.0,23.285714285714285
DKH Mitchell,9,18.0,131,6,4,3,7.277777777777778,43.666666666666664,36.0
RK Kleinveldt,29,254.2,1204,150,19,46,4.74015748031496,26.17391304347826,33.17391304347826
Azharullah,12,37.0,329,39,6,8,8.891891891891891,41.125,27.75
SP Crook,13,27.2,260,27,9,9,9.62962962962963,28.88888888888889,18.22222222222222
GG White,14,40.4,314,15,12,13,7.85,24.153846153846153,18.76923076923077
RML Taylor,30,135.0,831,79,21,23,6.155555555555556,36.130434782608695,35.21739130434783
BA Raine,10,35.1,294,36,9,14,8.4,21.0,15.071428571428571
NJ Dexter,10,26.4,204,16,1,7,7.846153846153846,29.142857142857142,22.857142857142858
JKH Naik,6,12.0,93,7,3,3,7.75,31.0,24.0
MT Coles,8,27.3,228,22,7,9,8.444444444444445,25.333333333333332,18.333333333333332
DA Griffiths,13,44.4,417,50,9,15,9.477272727272727,27.8,17.866666666666667
ME Claydon,11,39.5,373,37,9,13,9.564102564102564,28.692307692307693,18.384615384615383
JC Tredwell,75,582.5,2801,188,90,94,4.812714776632302,29.79787234042553,37.202127659574465
DI Stevens,13,37.1,368,37,16,11,9.945945945945946,33.45454545454545,20.272727272727273
FK Cowdrey,9,20.5,176,8,8,9,8.8,19.555555555555557,13.88888888888889
J Overton,10,34.5,296,29,11,14,8.705882352941176,21.142857142857142,14.928571428571429
TD Groenewald,5,10.0,135,17,4,3,13.5,45.0,20.0
Yasir Arafat,42,227.0,1390,147,32,56,6.1233480176211454,24.821428571428573,24.321428571428573
J Allenby,7,11.4,119,12,2,0,10.818181818181818,119.0,70.0
MTC Waller,12,35.1,288,19,13,13,8.228571428571428,22.153846153846153,16.23076923076923
MW Dixon,4,13.4,129,18,3,4,9.923076923076923,32.25,20.5
MR Quinn,14,51.4,448,46,16,17,8.784313725490197,26.352941176470587,18.235294117647058
GR Napier,13,45.0,389,39,13,24,8.644444444444444,16.208333333333332,11.25
Azhar Mahmood,32,128.4,912,96,23,42,7.125,21.714285714285715,18.38095238095238
MW Pillans,3,6.0,70,7,3,1,11.666666666666666,70.0,36.0
GJ Batty,17,100.0,534,38,11,11,5.34,48.54545454545455,54.54545454545455
JE Burke,2,2.1,26,5,0,1,13.0,26.0,13.0
DA Payne,1,0.5,61,5,4,0,12.2,61.0,5.0
CN Miles,1,0.3,29,2,1,2,9.666666666666666,14.5,1.5
CJ Liddle,1,0.3,34,3,3,0,11.333333333333334,34.0,3.0
TMJ Smith,13,41.1,320,21,10,12,7.804878048780488,26.666666666666668,20.583333333333332
BAC Howell,14,54.4,369,22,13,24,6.833333333333333,15.375,13.666666666666666
JMR Taylor,2,3.0,35,0,2,0,11.666666666666666,35.0,18.0
DR Briggs,16,53.1,461,37,21,14,8.69811320754717,32.92857142857143,22.785714285714285
A Shahzad,22,145.4,775,87,13,33,5.344827586206897,23.484848484848484,26.484848484848484
OE Robinson,1,0.1,17,0,2,0,17.0,17.0,1.0
WAT Beer,11,35.4,270,20,9,10,7.714285714285714,27.0,21.4
SJ Thakor,11,32.0,263,25,6,12,8.21875,21.916666666666668,16.0
A Carter,8,28.4,246,27,7,12,8.785714285714286,20.5,14.333333333333334
AL Hughes,12,35.1,283,15,9,7,8.085714285714285,40.42857142857143,30.142857142857142
MJJ Critchley,12,34.4,257,15,7,11,7.5588235294117645,23.363636363636363,18.90909090909091
SJ Croft,13,23.1,175,16,1,6,7.608695652173913,29.166666666666668,23.166666666666668
N Wagner,37,1199.0,3862,527,30,137,3.2210175145954962,28.18978102189781,52.51094890510949
GT Griffiths,5,12.2,100,13,2,5,8.333333333333334,20.0,14.8
TC Smith,2,4.5,31,3,0,0,7.75,31.0,29.0
GA Edwards,10,35.5,316,24,16,17,9.028571428571428,18.58823529411765,12.647058823529411
AM Lilley,10,25.2,203,14,7,9,8.12,22.555555555555557,16.88888888888889
SD Parry,22,81.2,605,37,25,22,7.469135802469136,27.5,22.181818181818183
GG Wagg,12,29.1,261,24,9,13,9.0,20.076923076923077,13.461538461538462
DA Cosker,8,22.1,164,13,4,8,7.454545454545454,20.5,16.625
ZS Ansari,13,96.0,491,41,11,14,5.114583333333333,35.07142857142857,41.142857142857146
WR Smith,4,4.3,67,6,3,1,16.75,67.0,27.0
TL Best,42,492.0,2101,243,32,64,4.270325203252033,32.828125,46.125
R McLaren,85,570.1,3000,338,49,125,5.2631578947368425,24.0,27.368
GM Andrew,8,19.3,165,20,2,9,8.68421052631579,18.333333333333332,13.0
JK Fuller,11,40.0,300,28,9,14,7.5,21.428571428571427,17.142857142857142
HW Podmore,7,19.5,208,16,11,6,10.947368421052632,34.666666666666664,19.833333333333332
RH Patel,2,4.4,61,7,1,4,15.25,15.25,7.0
JJ Cobb,12,21.4,195,13,5,8,9.285714285714286,24.375,16.25
WJ Durston,7,13.2,123,6,6,5,9.461538461538462,24.6,16.0
JC Wainman,2,2.5,47,7,1,1,23.5,47.0,17.0
A Lyth,6,5.2,32,1,1,2,6.4,16.0,16.0
WMH Rhodes,9,13.4,139,9,7,6,10.692307692307692,23.166666666666668,13.666666666666666
BO Coad,3,6.4,99,5,7,2,16.5,49.5,20.0
TJ Wells,5,7.5,76,7,2,1,10.857142857142858,76.0,47.0
A Javid,11,16.1,153,9,6,4,9.5625,38.25,24.25
DD Masters,7,21.1,186,17,8,5,8.857142857142858,37.2,25.4
Ashar Zaidi,10,25.2,183,13,4,5,7.32,36.6,30.4
T Westley,5,8.2,53,2,1,1,6.625,53.0,50.0
JA Rudolph,3,2.1,22,1,1,0,11.0,22.0,13.0
GL van Buuren,6,14.5,133,13,4,6,9.5,22.166666666666668,14.833333333333334
LC Norwell,11,31.0,302,36,11,3,9.741935483870968,100.66666666666667,62.0
IAA Thomas,4,13.2,117,7,4,5,9.0,23.4,16.0
GK Berg,12,36.2,272,21,10,15,7.555555555555555,18.133333333333333,14.533333333333333
CJ Russell,2,5.0,50,2,4,1,10.0,50.0,30.0
R Clarke,13,51.1,312,34,7,17,6.117647058823529,18.352941176470587,18.058823529411764
JE Poysden,7,14.2,133,9,6,3,9.5,44.333333333333336,28.666666666666668
CJ Taylor,1,0.1,19,3,1,0,19.0,19.0,1.0
MD Taylor,12,42.0,297,30,7,17,7.071428571428571,17.470588235294116,14.823529411764707
CDJ Dent,2,1.0,22,1,2,1,22.0,22.0,6.0
WL Madsen,5,7.2,60,5,3,3,8.571428571428571,20.0,14.666666666666666
SA Patterson,4,12.5,112,10,1,7,9.333333333333334,16.0,11.0
J Clark,10,33.4,295,24,15,10,8.93939393939394,29.5,20.2
C Rushworth,12,44.2,288,27,6,19,6.545454545454546,15.157894736842104,14.0
K Noema-Barnett,8,16.4,165,10,6,3,10.3125,55.0,33.333333333333336
DW Lawrence,11,23.1,182,14,6,12,7.913043478260869,15.166666666666666,11.583333333333334
RN ten Doeschate,36,173.0,970,97,15,42,5.606936416184971,23.095238095238095,24.714285714285715
TG Helm,1,1.0,27,1,1,1,27.0,27.0,6.0
NA Sowter,11,35.3,249,20,5,12,7.114285714285714,20.75,17.75
GH Rhodes,4,5.3,40,3,0,6,8.0,6.666666666666667,5.5
BW Sanderson,3,9.2,75,7,2,8,8.333333333333334,9.375,7.0
RJ Gleeson,10,35.2,207,29,2,16,5.914285714285715,12.9375,13.25
R Rampaul,126,1288.2,5366,588,83,209,4.166149068322981,25.67464114832536,36.985645933014354
MA Ashraf,7,20.0,162,16,4,8,8.1,20.25,15.0
OP Rayner,5,12.4,111,6,4,6,9.25,18.5,12.666666666666666
DJ Malan,2,1.1,26,4,1,0,26.0,26.0,7.0
JG Myburgh,2,1.1,17,3,0,0,17.0,17.0,7.0
Azeem Rafiq,11,36.4,270,27,5,16,7.5,16.875,13.75
K Carver,4,9.4,101,5,8,6,11.222222222222221,16.833333333333332,9.666666666666666
BD Cotton,4,9.2,104,11,5,3,11.555555555555555,34.666666666666664,18.666666666666668
PD Trego,4,4.2,36,4,0,2,9.0,18.0,13.0
NL Buck,8,26.0,194,23,3,12,7.461538461538462,16.166666666666668,13.0
PI Walter,7,17.5,173,24,4,4,10.176470588235293,43.25,26.75
JJ Weatherley,1,0.2,8,1,0,0,4.0,8.0,2.0
MD Hunn,1,0.3,35,2,3,1,11.666666666666666,35.0,3.0
J Shaw,1,0.1,10,1,0,0,10.0,10.0,1.0
GHS Garton,2,3.5,42,4,1,4,14.0,10.5,5.75
CD Nash,5,9.5,97,6,2,1,10.777777777777779,97.0,59.0
MJ Cosgrove,3,5.3,36,3,0,2,7.2,18.0,16.5
RA Stevenson,1,0.5,39,4,2,2,7.8,19.5,2.5
DP Sibley,2,2.5,55,5,3,3,27.5,18.333333333333332,5.666666666666667
