Bowler,Matches,Overs,Runs,4,6,Wickets,Economy,Average,Strike Rate
DC Stovell,24,109.3,615,52,15,27,5.6422018348623855,22.77777777777778,24.333333333333332
A Rangaswamy,9,53.1,209,20,5,14,3.943396226415094,14.928571428571429,22.785714285714285
P Silas,1,0.1,21,0,3,0,21.0,21.0,1.0
Mohammad Hasnain,6,29.1,268,30,8,6,9.241379310344827,44.666666666666664,29.166666666666668
Abu Jayed,3,36.5,214,28,2,9,5.944444444444445,23.77777777777778,24.555555555555557
Amir Mangal,1,0.3,17,1,0,1,5.666666666666667,17.0,3.0
JWN Moses,6,20.3,93,7,1,7,4.65,13.285714285714286,17.571428571428573
N Master,5,30.4,86,5,2,7,2.8666666666666667,12.285714285714286,26.285714285714285
K Modise,7,32.0,182,8,7,8,5.6875,22.75,24.0
C Waiswa,10,29.2,196,18,9,10,6.758620689655173,19.6,17.6
F Nsubuga,23,136.5,578,53,13,29,4.25,19.93103448275862,28.310344827586206
E Isaneez,4,9.2,66,8,0,3,7.333333333333333,22.0,18.666666666666668
H Ssenyondo,19,121.0,530,48,8,20,4.380165289256198,26.5,36.3
D Muhumuza,10,27.0,136,10,4,1,5.037037037037037,136.0,162.0
DM Nakrani,4,11.1,93,9,2,6,8.454545454545455,15.5,11.166666666666666
Riazat Ali Shah,3,6.5,58,4,3,2,9.666666666666666,29.0,20.5
B Masaba,7,17.3,114,14,2,7,6.705882352941177,16.285714285714285,15.0
RG Mukasa,18,78.0,397,28,15,24,5.089743589743589,16.541666666666668,19.5
G Bakiweyem,8,50.5,175,16,5,17,3.5,10.294117647058824,17.941176470588236
JK Vifah,1,0.2,8,1,0,0,4.0,8.0,2.0
IO Okpe,14,63.2,309,31,9,15,4.904761904761905,20.6,25.333333333333332
Mohameed Taiwo,2,4.5,40,3,1,2,10.0,20.0,14.5
VD Adewoye,6,12.2,118,17,1,6,9.833333333333334,19.666666666666668,12.333333333333334
I Danladi,2,4.3,33,3,0,4,8.25,8.25,6.75
CM Akachukwu,11,32.1,230,21,6,10,7.1875,23.0,19.3
SA Okpe,6,9.5,72,7,1,5,8.0,14.4,11.8
AM Oyede,5,17.4,95,6,1,1,5.588235294117647,95.0,106.0
R Olipa,1,0.2,7,0,1,0,3.5,7.0,2.0
SO Ngoche,45,210.1,1124,86,30,60,5.352380952380952,18.733333333333334,21.016666666666666
E Otieno,41,197.0,1199,144,26,46,6.086294416243655,26.065217391304348,25.695652173913043
LN Oluoch,20,74.0,409,42,15,20,5.527027027027027,20.45,22.2
NM Odhiambo,28,119.2,733,59,20,36,6.159663865546219,20.36111111111111,19.88888888888889
SR Bhudia,4,7.0,60,5,0,1,8.571428571428571,60.0,42.0
CO Obuya,34,108.4,593,46,10,34,5.4907407407407405,17.441176470588236,19.176470588235293
GK Diviya,6,21.4,96,5,0,4,4.571428571428571,24.0,32.5
DH Sharma,1,1.0,28,2,0,2,28.0,14.0,3.0
T Wang Ling,2,2.1,34,5,0,0,17.0,34.0,13.0
Roshni Ramesh,3,5.5,35,4,0,0,7.0,35.0,35.0
Smruthi Radhakrishnan,6,21.2,155,20,0,5,7.380952380952381,31.0,25.6
Shafia Hassan,3,8.4,54,6,0,3,6.75,18.0,17.333333333333332
WA Duraisingam,7,24.5,119,2,0,4,4.958333333333333,29.75,37.25
Noor Hayati Zakaria,5,13.3,66,7,0,2,5.076923076923077,33.0,40.5
Nur Arianna Natsya,4,14.2,57,6,0,5,4.071428571428571,11.4,17.2
Wan Nor Zulaika,2,4.1,39,4,0,3,9.75,13.0,8.333333333333334
Nur Nadihirah,2,3.4,16,1,0,2,5.333333333333333,8.0,11.0
Christina Baret,2,2.0,15,1,0,0,7.5,15.0,12.0
Mas Elysa,3,7.3,35,2,1,3,5.0,11.666666666666666,15.0
Ainna Hamizah Hashim,3,7.4,37,4,0,4,5.285714285714286,9.25,11.5
C Overton,5,20.1,230,29,4,4,11.5,57.5,30.25
Mahewish Khan,2,3.5,30,2,1,4,10.0,7.5,5.75
A Perera,2,4.5,51,7,0,2,12.75,25.5,14.5
Saniyah Zia,4,11.1,58,8,0,4,5.2727272727272725,14.5,16.75
Hiba Shamshad,2,4.3,23,2,0,1,5.75,23.0,27.0
KN Mirchandani,4,10.5,75,4,0,2,7.5,37.5,32.5
Hala Azmat,2,2.0,36,3,1,0,18.0,36.0,12.0
