batting_clusters,balling_clusters,dot,one,two,three,four,six,wicket
2,2,0.3365446032556962,0.3678296413364282,0.06399449622045215,0.005752994683384634,0.08849510331979248,0.03659621674105799,0.10078694444319054
2,0,0.39634784705189596,0.34730547541073636,0.05823221940105542,0.00619620175904771,0.08642375887149283,0.03236135242217752,0.07308853608150122
1,2,0.4132804216276133,0.3548619564275088,0.057678398589495895,0.005371095095993529,0.08292354120383262,0.02106334710109003,0.06482123995446445
0,2,0.4208999658605887,0.3357274975776786,0.05546049035915206,0.005228892314888919,0.0572246997228142,0.011609307016419174,0.11384914714845779
1,0,0.5066147526802478,0.3076782755456125,0.05006797245623485,0.007432411636438018,0.07466951638366817,0.013640100742536937,0.039896970555248434
0,0,0.48433664317667413,0.30567522628592875,0.04835830032660508,0.006043000055435789,0.058009009338242185,0.011001990426951255,0.08653319192172698
3,0,0.6071483136903659,0.22913414166684382,0.03041150778458685,0.004163522833227025,0.023380087976619095,0.002264089045443577,0.10349833700291242
0,3,0.481458830143508,0.32546373632464476,0.05689041317566421,0.009397844810311622,0.0763992705009665,0.021053565624330316,0.0293363394205748
1,3,0.49639382915415975,0.3477309319274074,0.052871930988922,0.007425400226305281,0.07152141945415648,0.010294912767566668,0.013761575481482283
3,2,0.5475237594618962,0.2523974678869205,0.028952241796392598,0.003879909425744986,0.016746503204965082,0.0007511395342757727,0.1497489786898061
2,3,0.39919231835754343,0.37817074982221127,0.06186654056928734,0.006412953433545327,0.08889159992816281,0.03845982749598683,0.027006010393263204
2,1,0.24472217803754603,0.3763528595758349,0.0894565679675011,0.004363001745200698,0.1651356300339977,0.07073432675526914,0.049235435884650534
1,1,0.254622445223949,0.405241041331267,0.08180893876382597,0.009350298823983033,0.1533517651938704,0.06916650600861128,0.026459004654493377
0,1,0.24277015913379543,0.4736759452668544,0.06602889534707718,0.021659779614325067,0.10765716606625694,0.038511084874721234,0.049696969696969705
3,1,0.381305114638448,0.37372134038800703,0.04473838918283363,0.016152263374485595,0.046957671957671955,0.005291005291005291,0.1318342151675485
3,3,0.5961565442191162,0.30097881568829904,0.03797344459383941,0.004006522245515957,0.031469867114285316,0.004974271012006861,0.02444053512693721
